VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,790,52,1019.26,-98.3098,28.9677
X,791,52,1066.78,-98.2998,28.9677
X,792,52,1066.78,-98.2898,28.9677
X,830,36,1045.42,-98.3398,28.9577
X,831,52,1101.16,-98.3298,28.9577
X,832,31,1083.54,-98.3198,28.9577
X,833,44,1083.54,-98.3098,28.9577
X,834,44,1066.76,-98.2998,28.9577
X,835,36,1084.06,-98.2898,28.9577
X,836,52,1083.54,-98.2798,28.9577
X,837,36,1156.58,-98.2698,28.9577
X,850,44,1001.46,-98.6098,28.9477
X,851,36,1001.46,-98.5998,28.9477
X,853,44,989,-98.5798,28.9477
X,854,36,989,-98.5698,28.9477
X,855,31,961.58,-98.5598,28.9477
X,856,36,961.58,-98.5498,28.9477
X,857,31,973.46,-98.5398,28.9477
X,867,31,1044.5,-98.4198,28.9477
X,868,31,1006.92,-98.4098,28.9477
X,869,31,1044.5,-98.3998,28.9477
X,870,36,1006.92,-98.3898,28.9477
X,871,44,1048.9,-98.3798,28.9477
X,872,44,1064.48,-98.3698,28.9477
X,874,52,1088.08,-98.3498,28.9477
X,875,44,1084.06,-98.3298,28.9477
X,876,36,1099.94,-98.3198,28.9477
X,877,36,1046.04,-98.3098,28.9477
X,919,44,1039.9,-98.3798,28.9377
X,920,36,1033.58,-98.3698,28.9377
X,921,36,1049.64,-98.3598,28.9377
X,922,52,1088.1,-98.3498,28.9377
X,923,36,1088.18,-98.3398,28.9377
X,924,36,1084.06,-98.3298,28.9377
X,925,31,1089.04,-98.3198,28.9377
X,926,31,1046.02,-98.2998,28.9377
X,928,52,1007.5,-98.2798,28.9377
X,929,52,1066.76,-98.2698,28.9377
X,930,52,1046.02,-98.2598,28.9377
X,931,52,1058.38,-98.2498,28.9377
X,1001,52,941.34,-98.6198,28.9177
X,1002,52,941.34,-98.6098,28.9177
X,1003,52,989,-98.5998,28.9177
X,1008,31,928.66,-98.5298,28.9177
X,1009,31,989,-98.5198,28.9177
X,1010,36,1015.8,-98.5098,28.9177
X,1011,44,965.04,-98.4998,28.9177
X,1012,44,1052.46,-98.4898,28.9177
X,1013,52,1050.1,-98.4798,28.9177
