VARIABLE, PARCEL, DEPOT, PLANT, VALUE
TC,,,,36468246.05
D,,3,,1
D,,12,,1
D,,31,,1
D,,36,,1
X,1,31,,714.2
X,2,3,,1049.52
X,71,36,,1074.86
X,72,12,,1074.86
X,73,12,,1059.32
X,74,12,,1118.34
X,75,31,,1133.74
X,76,12,,1123.26
X,77,36,,1123.26
X,80,36,,902.2
X,142,3,,1088.6
X,213,12,,1069.38
X,214,31,,1025.36
X,215,36,,1069.38
X,216,31,,1062.24
X,217,3,,1059.1
X,218,31,,987
X,219,12,,1025.36
X,220,3,,1025.36
X,221,31,,1062.24
X,222,31,,1037.78
X,223,12,,1062.28
X,225,31,,1062.28
X,280,36,,1081.88
X,281,36,,1081.88
X,282,36,,1081.88
X,283,36,,1081.88
X,284,12,,1081.88
X,285,36,,1081.88
X,286,12,,1049.62
X,287,3,,1094.82
X,288,31,,1088.6
X,289,12,,1080.38
X,290,36,,1062.24
X,291,36,,1069.34
X,292,36,,1062.24
X,293,3,,1069.34
X,293,12,,0
X,294,36,,1069.34
X,295,31,,1025.32
X,297,3,,1073.96
X,352,36,,1007.82
X,353,36,,1042.52
X,354,12,,1010.76
X,355,36,,1029.36
X,356,12,,1010.76
X,357,36,,1042.52
X,358,31,,1010.76
X,359,12,,1046.9
X,360,36,,1081.9
X,361,36,,1081.9
X,362,12,,1081.9
X,363,3,,1080.36
X,364,31,,1049.62
X,365,31,,1094.82
X,366,12,,1081.9
X,367,3,,1081.9
X,368,3,,1072.68
X,422,3,,1025.26
X,423,31,,1025.26
X,424,12,,1062.24
X,425,31,,1075.58
X,426,12,,1094.76
X,427,36,,1062.94
X,480,31,,1062.8
X,484,36,,1046.9
X,485,36,,1046.9
X,492,31,,1080.38
X,493,3,,1092.42
X,495,36,,1081.84
X,496,31,,1049.58
X,497,3,,1025.24
X,498,36,,1069.26
X,499,12,,1075.56
X,500,3,,1069.26
X,501,36,,1062.24
X,502,31,,1069.26
X,503,12,,1025.24
X,504,3,,1139
X,505,36,,1041.64
X,506,31,,1073.8
X,507,31,,1076.22
X,508,12,,1062.24
X,509,12,,1089.4
X,510,3,,1068.38
X,510,12,,0
X,511,3,,1053.44
