VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
D,0,3,1,-98.55479,29.1627
D,0,12,1,-98.35479,28.9628
D,0,31,1,-98.20511,29.3224
D,0,36,1,-98.28511,29.2424
X,1,31,714.2,-98.7698,29.2377
X,2,3,1049.52,-98.7798,29.2277
X,71,36,1074.86,-98.7998,29.1577
X,72,12,1074.86,-98.7698,29.1577
X,73,12,1059.32,-98.7598,29.1577
X,74,12,1118.34,-98.7498,29.1577
X,75,31,1133.74,-98.7398,29.1577
X,76,12,1123.26,-98.7298,29.1577
X,77,36,1123.26,-98.7098,29.1577
X,80,36,902.2,-98.6498,29.1577
X,142,3,1088.6,-98.6098,29.1177
X,213,12,1069.38,-98.4998,29.0977
X,214,31,1025.36,-98.4898,29.0977
X,215,36,1069.38,-98.4798,29.0977
X,216,31,1062.24,-98.4698,29.0977
X,217,3,1059.1,-98.4498,29.0977
X,218,31,987,-98.4398,29.0977
X,219,12,1025.36,-98.4298,29.0977
X,220,3,1025.36,-98.4198,29.0977
X,221,31,1062.24,-98.4098,29.0977
X,222,31,1037.78,-98.3998,29.0977
X,223,12,1062.28,-98.7998,29.0877
X,225,31,1062.28,-98.7798,29.0877
X,280,36,1081.88,-98.6098,29.0777
X,281,36,1081.88,-98.5998,29.0777
X,282,36,1081.88,-98.5898,29.0777
X,283,36,1081.88,-98.5798,29.0777
X,284,12,1081.88,-98.5698,29.0777
X,285,36,1081.88,-98.5598,29.0777
X,286,12,1049.62,-98.5498,29.0777
X,287,3,1094.82,-98.5398,29.0777
X,288,31,1088.6,-98.5298,29.0777
X,289,12,1080.38,-98.5098,29.0777
X,290,36,1062.24,-98.4998,29.0777
X,291,36,1069.34,-98.4898,29.0777
X,292,36,1062.24,-98.4798,29.0777
X,293,3,1069.34,-98.4698,29.0777
X,294,36,1069.34,-98.4598,29.0777
X,295,31,1025.32,-98.4498,29.0777
X,297,3,1073.96,-98.4298,29.0777
X,352,36,1007.82,-98.7098,29.0577
X,353,36,1042.52,-98.6998,29.0577
X,354,12,1010.76,-98.6798,29.0577
X,355,36,1029.36,-98.6698,29.0577
X,356,12,1010.76,-98.6598,29.0577
X,357,36,1042.52,-98.6498,29.0577
X,358,31,1010.76,-98.6398,29.0577
X,359,12,1046.9,-98.6298,29.0577
X,360,36,1081.9,-98.6198,29.0577
X,361,36,1081.9,-98.6098,29.0577
X,362,12,1081.9,-98.5998,29.0577
X,363,3,1080.36,-98.5898,29.0577
X,364,31,1049.62,-98.5798,29.0577
X,365,31,1094.82,-98.5698,29.0577
X,366,12,1081.9,-98.5598,29.0577
X,367,3,1081.9,-98.5498,29.0577
X,368,3,1072.68,-98.5398,29.0577
X,422,3,1025.26,-98.4198,29.0477
X,423,31,1025.26,-98.4098,29.0477
X,424,12,1062.24,-98.3998,29.0477
X,425,31,1075.58,-98.3898,29.0477
X,426,12,1094.76,-98.3598,29.0477
X,427,36,1062.94,-98.3498,29.0477
X,480,31,1062.8,-98.6898,29.0277
X,484,36,1046.9,-98.6398,29.0277
X,485,36,1046.9,-98.6298,29.0277
X,492,31,1080.38,-98.5598,29.0277
X,493,3,1092.42,-98.5498,29.0277
X,495,36,1081.84,-98.5198,29.0277
X,496,31,1049.58,-98.5098,29.0277
X,497,3,1025.24,-98.4998,29.0277
X,498,36,1069.26,-98.4898,29.0277
X,499,12,1075.56,-98.4798,29.0277
X,500,3,1069.26,-98.4698,29.0277
X,501,36,1062.24,-98.4598,29.0277
X,502,31,1069.26,-98.4498,29.0277
X,503,12,1025.24,-98.4298,29.0277
X,504,3,1139,-98.4198,29.0277
X,505,36,1041.64,-98.4098,29.0277
X,506,31,1073.8,-98.3998,29.0277
X,507,31,1076.22,-98.3898,29.0277
X,508,12,1062.24,-98.3798,29.0277
X,509,12,1089.4,-98.3698,29.0277
X,510,3,1068.38,-98.3598,29.0277
X,511,3,1053.44,-98.3498,29.0277
X,512,3,1053.44,-98.3398,29.0277
X,513,3,1053.44,-98.3298,29.0277
X,569,12,1008.74,-98.6798,29.0077
X,570,3,1039.14,-98.6698,29.0077
X,571,36,1047.08,-98.6598,29.0077
X,572,31,1047.08,-98.6498,29.0077
X,573,3,1016.5,-98.6398,29.0077
X,574,36,1010.76,-98.6298,29.0077
X,575,31,1092.42,-98.6198,29.0077
X,576,31,1088.46,-98.6098,29.0077
X,577,12,1088.46,-98.5998,29.0077
X,578,3,1049.58,-98.5898,29.0077
X,579,12,1086.84,-98.5698,29.0077
X,580,12,1081.82,-98.5598,29.0077
X,581,3,1095.44,-98.5498,29.0077
X,582,3,1080.34,-98.5398,29.0077
X,583,3,1092.42,-98.5298,29.0077
X,584,3,1088.46,-98.5198,29.0077
X,633,31,1013,-98.5198,28.9977
X,634,3,1010.68,-98.5098,28.9977
X,635,31,1039.98,-98.4998,28.9977
X,636,12,1044.58,-98.4898,28.9977
X,637,36,1006.62,-98.4698,28.9977
X,638,31,1044.58,-98.4598,28.9977
X,639,12,989.46,-98.4498,28.9977
X,640,3,970.32,-98.4398,28.9977
X,641,36,967,-98.4298,28.9977
X,642,31,967,-98.4198,28.9977
X,643,3,989.72,-98.3998,28.9977
X,644,36,1005.84,-98.3898,28.9977
X,645,31,1049.78,-98.3698,28.9977
X,646,31,1093.08,-98.3598,28.9977
X,647,12,1046.12,-98.3498,28.9977
X,648,3,1046.12,-98.3398,28.9977
X,649,3,1046.12,-98.3298,28.9977
X,650,3,1156.28,-98.3098,28.9977
X,651,3,1046.12,-98.2998,28.9977
X,715,31,971.96,-98.6598,28.9777
X,716,12,981.08,-98.6498,28.9777
X,717,12,971.96,-98.6398,28.9777
X,718,3,955.28,-98.6298,28.9777
X,719,3,961.62,-98.6198,28.9777
X,720,3,989.02,-98.6098,28.9777
X,721,36,973.46,-98.5998,28.9777
X,722,36,973.46,-98.5898,28.9777
X,723,36,1001.46,-98.5798,28.9777
X,725,3,1003.2,-98.5498,28.9777
X,726,3,1010.68,-98.5398,28.9777
X,774,3,1010.68,-98.5198,28.9677
X,777,36,1063.46,-98.4598,28.9677
X,778,12,1045.64,-98.4498,28.9677
X,779,3,1006.68,-98.4298,28.9677
X,780,36,1014.18,-98.4098,28.9677
X,781,31,1005.82,-98.3998,28.9677
X,782,12,970.06,-98.3898,28.9677
X,783,3,966.98,-98.3798,28.9677
X,784,36,989.02,-98.3698,28.9677
X,785,31,1049.74,-98.3598,28.9677
X,786,12,1093.04,-98.3498,28.9677
X,787,12,1090.82,-98.3398,28.9677
X,788,12,1066.78,-98.3298,28.9677
X,789,3,1083.52,-98.3198,28.9677
X,790,3,1019.26,-98.3098,28.9677
X,830,36,1045.42,-98.3398,28.9577
X,832,31,1083.54,-98.3198,28.9577
X,833,3,1083.54,-98.3098,28.9577
X,834,12,1066.76,-98.2998,28.9577
X,835,36,1084.06,-98.2898,28.9577
X,836,31,1083.54,-98.2798,28.9577
X,837,12,1156.58,-98.2698,28.9577
X,851,36,1001.46,-98.5998,28.9477
X,853,3,989,-98.5798,28.9477
X,854,36,989,-98.5698,28.9477
X,855,31,961.58,-98.5598,28.9477
X,856,36,961.58,-98.5498,28.9477
X,857,31,973.46,-98.5398,28.9477
X,858,12,989,-98.5298,28.9477
X,859,12,1001.46,-98.5198,28.9477
X,860,3,965.06,-98.4998,28.9477
X,861,3,1014.38,-98.4898,28.9477
X,862,3,1005.8,-98.4798,28.9477
X,863,3,1005.8,-98.4698,28.9477
X,864,3,1035.76,-98.4598,28.9477
X,865,3,989.66,-98.4498,28.9477
X,866,12,1044.5,-98.4398,28.9477
X,867,31,1044.5,-98.4198,28.9477
X,868,31,1006.92,-98.4098,28.9477
X,869,31,1044.5,-98.3998,28.9477
X,870,36,1006.92,-98.3898,28.9477
X,876,36,1099.94,-98.3198,28.9477
X,877,36,1046.04,-98.3098,28.9477
X,920,36,1033.58,-98.3698,28.9377
X,921,36,1049.64,-98.3598,28.9377
X,922,3,1088.1,-98.3498,28.9377
X,923,36,1088.18,-98.3398,28.9377
X,924,36,1084.06,-98.3298,28.9377
X,925,31,1089.04,-98.3198,28.9377
X,926,31,1046.02,-98.2998,28.9377
X,927,12,1028.4,-98.2898,28.9377
X,928,12,1007.5,-98.2798,28.9377
X,929,3,1066.76,-98.2698,28.9377
X,930,3,1046.02,-98.2598,28.9377
X,931,3,1058.38,-98.2498,28.9377
X,1001,3,941.34,-98.6198,28.9177
X,1002,3,941.34,-98.6098,28.9177
X,1003,3,989,-98.5998,28.9177
X,1004,3,989,-98.5898,28.9177
X,1005,3,1069.56,-98.5798,28.9177
X,1006,3,1072.08,-98.5698,28.9177
X,1007,12,941.34,-98.5598,28.9177
X,1008,31,928.66,-98.5298,28.9177
X,1009,31,989,-98.5198,28.9177
X,1010,36,1015.8,-98.5098,28.9177
X,1011,36,965.04,-98.4998,28.9177
X,1015,36,1052.46,-98.4598,28.9177
X,1016,36,1052.46,-98.4498,28.9177
X,1017,31,1025.88,-98.4298,28.9177
X,1056,36,941.34,-98.5898,28.9077
X,1059,3,1015.82,-98.5398,28.9077
X,1060,36,989,-98.5298,28.9077
X,1062,3,989,-98.5098,28.9077
X,1063,36,1052.46,-98.4998,28.9077
X,1064,31,1006.84,-98.4898,28.9077
X,1065,31,1052.46,-98.4798,28.9077
X,1066,12,1050.08,-98.4698,28.9077
X,1067,12,1050.08,-98.4498,28.9077
X,1068,3,1006.84,-98.4398,28.9077
X,1069,3,1025.9,-98.4298,28.9077
X,1072,36,1052.46,-98.3998,28.9077
X,1073,3,1045.94,-98.3898,28.9077
X,1074,3,1004,-98.3798,28.9077
X,1075,3,1040.74,-98.3698,28.9077
X,1076,3,1079.9,-98.3598,28.9077
X,1077,12,1089.34,-98.3498,28.9077
X,1078,12,1095.52,-98.3398,28.9077
X,1079,31,1084.22,-98.3298,28.9077
X,1080,31,1066.9,-98.3098,28.9077
X,1081,31,1084.22,-98.2998,28.9077
X,1129,36,1094.14,-98.3698,28.8977
X,1132,36,1162.8,-98.3398,28.8977
X,1133,31,1066.9,-98.3298,28.8977
X,1134,36,1089.1,-98.3198,28.8977
X,1135,31,1084.22,-98.3098,28.8977
X,1136,3,998.2,-98.2998,28.8977
X,1137,12,1084.66,-98.2898,28.8977
