VARIABLE,INDEX,DEPOT,VALUE,YLT,XLN
X,651,52,1046.12,28.9977,-98.2998
X,701,45,1046.08,28.9877,-98.2898
X,715,31,971.96,28.9777,-98.6598
X,716,31,981.08,28.9777,-98.6498
X,717,11,971.96,28.9777,-98.6398
X,718,3,955.28,28.9777,-98.6298
X,719,3,961.62,28.9777,-98.6198
X,720,3,989.02,28.9777,-98.6098
X,721,36,973.46,28.9777,-98.5998
X,722,45,973.46,28.9777,-98.5898
X,723,36,1001.46,28.9777,-98.5798
X,724,45,1069.86,28.9777,-98.5598
X,725,3,1003.2,28.9777,-98.5498
X,726,3,1010.68,28.9777,-98.5398
X,731,36,1044.54,28.9777,-98.4598
X,774,3,1010.68,28.9677,-98.5198
X,776,45,1044.54,28.9677,-98.4698
X,777,36,1063.46,28.9677,-98.4598
X,779,52,1006.68,28.9677,-98.4298
X,780,36,1014.18,28.9677,-98.4098
X,781,31,1005.82,28.9677,-98.3998
X,783,45,966.98,28.9677,-98.3798
X,784,36,989.02,28.9677,-98.3698
X,785,31,1049.74,28.9677,-98.3598
X,787,11,1090.82,28.9677,-98.3398
X,788,11,1066.78,28.9677,-98.3298
X,789,3,1083.52,28.9677,-98.3198
X,790,3,1019.26,28.9677,-98.3098
X,791,52,1066.78,28.9677,-98.2998
X,830,36,1045.42,28.9577,-98.3398
X,831,52,1101.16,28.9577,-98.3298
X,832,31,1083.54,28.9577,-98.3198
X,833,3,1083.54,28.9577,-98.3098
X,834,45,1066.76,28.9577,-98.2998
X,835,36,1084.06,28.9577,-98.2898
X,836,52,1083.54,28.9577,-98.2798
X,837,36,1156.58,28.9577,-98.2698
X,850,45,1001.46,28.9477,-98.6098
X,851,36,1001.46,28.9477,-98.5998
X,853,45,989,28.9477,-98.5798
X,854,36,989,28.9477,-98.5698
X,855,36,961.58,28.9477,-98.5598
X,856,36,961.58,28.9477,-98.5498
X,857,31,973.46,28.9477,-98.5398
X,858,11,989,28.9477,-98.5298
X,859,11,1001.46,28.9477,-98.5198
X,860,3,965.06,28.9477,-98.4998
X,861,3,1014.38,28.9477,-98.4898
X,862,3,1005.8,28.9477,-98.4798
X,863,3,1005.8,28.9477,-98.4698
X,864,3,1035.76,28.9477,-98.4598
X,865,3,989.66,28.9477,-98.4498
X,866,11,1044.5,28.9477,-98.4398
X,867,31,1044.5,28.9477,-98.4198
X,868,31,1006.92,28.9477,-98.4098
X,869,36,1044.5,28.9477,-98.3998
X,870,36,1006.92,28.9477,-98.3898
X,871,45,1048.9,28.9477,-98.3798
X,872,45,1064.48,28.9477,-98.3698
X,874,52,1088.08,28.9477,-98.3498
X,875,45,1084.06,28.9477,-98.3298
X,876,36,1099.94,28.9477,-98.3198
X,877,36,1046.04,28.9477,-98.3098
X,919,45,1039.9,28.9377,-98.3798
X,920,36,1033.58,28.9377,-98.3698
X,921,36,1049.64,28.9377,-98.3598
X,922,52,1088.1,28.9377,-98.3498
X,923,36,1088.18,28.9377,-98.3398
X,924,36,1084.06,28.9377,-98.3298
X,925,31,1089.04,28.9377,-98.3198
X,926,31,1046.02,28.9377,-98.2998
X,927,3,1028.4,28.9377,-98.2898
X,928,11,1007.5,28.9377,-98.2798
X,929,3,1066.76,28.9377,-98.2698
X,930,3,1046.02,28.9377,-98.2598
X,931,52,1058.38,28.9377,-98.2498
X,982,36,1093.76,28.9277,-98.2498
X,1001,52,941.34,28.9177,-98.6198
X,1002,52,941.34,28.9177,-98.6098
X,1003,52,989,28.9177,-98.5998
X,1004,3,989,28.9177,-98.5898
X,1005,3,1069.56,28.9177,-98.5798
X,1006,3,1072.08,28.9177,-98.5698
X,1008,31,928.66,28.9177,-98.5298
X,1009,31,989,28.9177,-98.5198
X,1010,36,1015.8,28.9177,-98.5098
X,1011,45,965.04,28.9177,-98.4998
X,1012,45,1052.46,28.9177,-98.4898
X,1013,52,1050.1,28.9177,-98.4798
X,1014,45,1006.84,28.9177,-98.4698
X,1015,36,1052.46,28.9177,-98.4598
X,1016,36,1052.46,28.9177,-98.4498
X,1017,31,1025.88,28.9177,-98.4298
X,1054,31,941.34,28.9077,-98.6098
X,1056,36,941.34,28.9077,-98.5898
X,1057,31,989,28.9077,-98.5798
X,1059,45,1015.82,28.9077,-98.5398
X,1060,36,989,28.9077,-98.5298
X,1062,3,989,28.9077,-98.5098
X,1063,36,1052.46,28.9077,-98.4998
X,1064,31,1006.84,28.9077,-98.4898
X,1065,31,1052.46,28.9077,-98.4798
X,1067,11,1050.08,28.9077,-98.4498
X,1068,3,1006.84,28.9077,-98.4398
X,1069,52,1025.9,28.9077,-98.4298
