VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
X,1069,44,,0.0000,
X,1069,52,,1025.9000,
X,1070,44,,0.0000,
X,1070,52,,1025.9000,
X,1071,44,,0.0000,
X,1071,52,,1045.9400,
X,1072,44,,0.0000,
X,1072,52,,1052.4600,
X,1073,52,,1045.9400,
X,1074,52,,1004.0000,
X,1078,17,,0.0000,
X,1079,31,,1084.2200,
X,1080,31,,1066.9000,
X,1081,44,,1084.2200,
X,1082,44,,1098.1600,
X,1128,52,,689.9800,
X,1129,36,,1094.1400,
X,1131,52,,1078.1200,
X,1132,44,,0.0000,
X,1132,52,,1162.8000,
X,1133,44,,1066.9000,
X,1134,36,,1089.1000,
X,1135,31,,1084.2200,
X,1137,52,,1084.6600,
X,1138,44,,0.0000,
X,1138,52,,1084.6600,
X,1139,52,,1045.5400,
X,1140,44,,0.0000,
X,1140,52,,1057.5400,
X,1141,44,,0.0000,
X,1141,52,,1114.3000,
X,1142,44,,0.0000,
X,1142,52,,1172.7800,
X,1143,52,,1091.0400,
X,1144,52,,1074.4400,
X,1184,44,,1078.0600,
X,1185,36,,1083.0600,
X,1186,36,,1083.8200,
X,1221,31,,941.3200,
X,1222,36,,968.7800,
X,1223,36,,988.9800,
X,1224,31,,989.6200,
X,1225,31,,1114.8800,
X,1273,36,,940.1600,
X,1278,52,,1016.9800,
X,1279,52,,1009.4400,
X,1280,52,,1016.6600,
X,1281,52,,988.2400,
X,1282,52,,1036.7600,
X,1287,17,,0.0000,
X,1289,31,,1008.0000,
X,1290,36,,1087.3800,
X,1291,44,,1035.3600,
X,1292,44,,1120.2800,
X,1293,44,,1016.5400,
X,1294,31,,1095.4200,
X,1295,36,,1095.4200,
X,1296,31,,1105.5400,
X,1297,17,,0.0000,
X,1298,17,,0.0000,
X,1300,44,,1032.4000,
X,1342,31,,1016.6600,
X,1347,52,,1087.3800,
X,1348,44,,1087.3800,
X,1349,44,,1087.3800,
X,1350,44,,1045.6600,
X,1351,52,,983.4400,
X,1352,52,,1005.3200,
X,1353,52,,1005.3200,
X,1354,52,,1077.1200,
X,1357,17,,0.0000,
X,1357,31,,1168.6600,
X,1358,31,,1191.0600,
X,1359,31,,1077.4600,
X,1360,36,,1107.0000,
X,1361,36,,1085.7200,
X,1362,44,,1077.4600,
X,1363,36,,1020.1000,
X,1364,31,,1020.1000,
X,1365,31,,697.8000,
X,1412,36,,1005.3200,
X,1418,52,,880.0800,
X,1419,44,,1107.0000,
X,1420,44,,1103.5400,
X,1422,44,,0.0000,
X,1422,52,,1077.4200,
X,1423,52,,697.8000,
X,1572,36,,940.0200,
X,1573,31,,990.2400,
X,1575,17,,0.0000,
X,1637,17,,0.0000,
X,1639,31,,939.9800,
X,1640,31,,1043.4200,
X,1641,36,,1098.1400,
X,1642,36,,1036.6800,
X,1643,31,,1034.4200,
X,1644,31,,1000.1600,
X,1645,17,,0.0000,
X,1676,31,,1106.8600,
X,1703,44,,940.0200,
X,1704,52,,989.1200,
X,1709,17,,0.0000,
X,1711,31,,1035.6400,
X,1712,31,,1050.6200,
X,1714,17,,0.0000,
X,1771,36,,940.0200,
X,1773,44,,989.1400,
X,1781,31,,1016.5400,
X,1782,31,,1098.0600,
X,1787,52,,1087.2800,
X,1788,44,,1087.2800,
X,1842,36,,1036.6200,
X,1843,36,,1036.6200,
X,1844,44,,1036.6200,
X,1845,52,,1036.6200,
X,1849,17,,0.0000,
X,1850,31,,1087.2800,
X,1852,31,,1097.4000,
X,1853,17,,0.0000,
X,1853,31,,1035.3600,
X,1857,52,,1113.4400,
X,1858,36,,1083.3400,
X,1908,31,,1098.0200,
X,1910,31,,948.8600,
X,1911,36,,1035.5600,
X,1912,36,,948.8600,
X,1913,44,,1036.5800,
X,1914,44,,1016.8000,
X,1915,52,,1098.0200,
X,1921,31,,1108.1800,
X,1922,17,,0.0000,
X,1923,17,,0.0000,
X,1926,52,,1105.4800,
X,1927,44,,1168.4800,
X,1989,31,,1112.9600,
X,1990,31,,1005.2400,
X,1991,31,,1168.4800,
X,1996,44,,1191.0000,
X,1997,52,,1191.0000,
X,1998,36,,1077.5600,
X,2050,36,,1051.5600,
X,2051,31,,1150.3800,
X,2052,31,,1071.6600,
X,2053,36,,1060.9000,
X,2054,44,,1147.8200,
X,2055,52,,1091.5800,
X,2060,31,,1135.8800,
X,2064,52,,1124.7200,
X,2065,52,,1124.7200,
X,2066,44,,0.0000,
X,2066,52,,1205.1200,
X,2208,44,,955.6400,
X,2209,31,,0.0000,
X,2209,52,,1096.0400,
X,2210,31,,955.6400,
X,2211,31,,955.6400,
X,2212,36,,955.6400,
X,2214,36,,1030.7800,
X,2215,31,,1084.2400,
X,2217,44,,1025.7000,
X,2218,36,,1092.8200,
X,2278,36,,864.1400,
X,2280,44,,0.0000,
X,2280,52,,1025.1000,
X,2281,44,,0.0000,
X,2281,52,,1074.8600,
X,2282,31,,1205.1600,
X,2283,44,,897.3600,
X,2284,31,,1097.9800,
X,2287,31,,877.7400,
X,2348,31,,885.6200,
X,2349,52,,885.6200,
X,2350,52,,885.6200,
X,2351,44,,908.8000,
X,2352,31,,976.0200,
X,2425,44,,1042.1600,
X,2426,36,,1097.3000,
X,2427,31,,1002.0000,
X,2488,44,,1149.1800,
X,2491,44,,1098.1200,
X,2493,44,,1050.5800,
X,2494,31,,864.0600,
X,2496,52,,881.9400,
X,2497,36,,881.9400,
X,2498,31,,881.9400,
X,2499,31,,1015.9000,
X,2502,52,,908.6400,
X,2503,36,,966.0600,
X,2504,36,,908.6400,
X,2505,31,,959.0400,
X,2557,36,,1197.8200,
X,2558,36,,1181.5200,
X,2559,31,,812.7000,
X,2560,31,,1287.0200,
X,2561,36,,1118.8200,
X,2562,52,,1095.0200,
X,2563,31,,1118.8200,
X,2564,17,,0.0000,
X,2565,52,,1158.4400,
X,2566,36,,1163.0600,
X,2567,31,,1118.8000,
X,2570,52,,1198.4200,
X,2571,44,,1178.8000,
X,2572,36,,1142.3400,
X,2573,36,,1200.4600,
X,2574,31,,1200.4600,
X,2576,36,,1380.8200,
X,2628,44,,1155.9600,
X,2629,52,,1252.5400,
X,2630,52,,1210.5000,
X,2631,31,,1175.6400,
X,2632,44,,0.0000,
X,2632,52,,1175.6400,
X,2633,31,,1107.7600,
X,2634,17,,0.0000,
X,2634,52,,1279.3600,
X,2635,52,,1199.1800,
X,2636,36,,1172.5600,
X,2637,31,,1288.6200,
X,2638,17,,0.0000,
X,2640,52,,1396.4600,
X,2641,44,,1215.4200,
X,2642,36,,1269.0800,
X,2697,36,,1353.9600,
X,2698,36,,1279.3600,
X,2699,44,,1279.3600,
X,2700,44,,1279.3600,
X,2701,36,,1279.3600,
X,2702,44,,1279.3600,
X,2703,31,,1199.1400,
X,2704,52,,1159.4200,
X,2705,44,,1304.1800,
X,2706,31,,1288.6000,
X,2707,17,,0.0000,
X,2707,31,,1288.6000,
X,2708,52,,1288.6000,
X,2709,44,,0.0000,
X,2709,52,,1288.6000,
X,2710,44,,1288.6000,
X,2711,36,,1366.8800,
X,2712,36,,1361.9000,
X,2713,31,,1250.3200,
X,2715,36,,1215.4400,
X,2716,36,,1269.0800,
X,2767,52,,1184.4800,
X,2768,44,,1288.6000,
X,2769,44,,1325.6600,
X,2770,36,,1191.0200,
X,2771,52,,1361.9000,
X,2772,36,,1250.2800,
X,2773,17,,0.0000,
X,2773,31,,1198.9600,
X,2774,44,,0.0000,
X,2774,52,,1250.2800,
X,2775,36,,1250.2800,
X,2776,31,,1250.2800,
X,2777,52,,1269.1000,
X,2778,52,,1192.8400,
X,2779,52,,1344.9600,
X,2780,44,,1344.9600,
X,2781,44,,1344.9600,
X,2782,31,,1344.9600,
X,2783,17,,0.0000,
X,2785,36,,1276.9600,
X,2787,44,,1353.9600,
X,2838,36,,1179.4200,
X,2839,36,,1034.8600,
X,2840,36,,1159.3800,
X,2841,44,,0.0000,
X,2841,52,,1279.3400,
X,2842,36,,1279.3400,
X,2843,52,,1238.2600,
X,2844,44,,1294.2200,
X,2845,31,,1203.5400,
X,2846,31,,1320.1600,
X,2847,17,,0.0000,
X,2847,52,,1198.9200,
X,2848,52,,1250.2600,
X,2849,44,,1199.7000,
X,2850,36,,1250.2600,
X,2854,52,,1250.2600,
X,2855,31,,1299.7800,
X,2908,31,,1353.8800,
X,2909,52,,1353.8800,
X,2910,31,,1353.8800,
X,2911,44,,0.0000,
X,2911,52,,1353.8800,
X,2912,31,,1353.8800,
X,2913,44,,0.0000,
X,2913,52,,1210.1600,
X,2914,44,,1210.1600,
X,2915,36,,1064.6800,
X,2916,17,,0.0000,
X,2916,52,,1064.6800,
X,2917,44,,0.0000,
X,2917,52,,1064.6800,
X,2918,44,,0.0000,
X,2918,52,,1033.6200,
X,2919,36,,1187.8600,
X,2935,44,,1217.5000,
X,2936,52,,1131.6800,
X,2937,36,,1217.5000,
X,2938,17,,0.0000,
X,2938,52,,1217.5000,
X,2939,36,,1282.1000,
X,2941,44,,1312.5000,
X,2984,44,,1217.5000,
X,2985,31,,1217.5000,
X,2986,17,,0.0000,
X,2987,52,,1217.5000,
X,2988,52,,1190.8200,
X,2989,44,,1312.4800,
X,2990,31,,1312.4800,
X,2991,31,,1341.6800,
