,Origin GEOID,Destination GID,Distance (km)
1,292,1,60.9886
1,293,1,63.7854
1,294,1,63.4098
1,295,1,63.6598
1,296,1,55.6298
1,297,1,55.3492
1,298,1,56.6006
0,299,1,53.8049
0,300,1,51.4551
0,301,1,51.0992
1,302,1,54.2255
1,303,1,53.731
1,304,1,53.9507
1,305,1,44.259
1,306,1,43.8035
1,307,1,42.6849
1,308,1,41.5166
1,309,1,41.2779
1,310,1,41.212
1,311,1,38.5365
1,312,1,36.9169
1,313,1,35.4516
1,314,1,34.3162
1,315,1,33.057
1,316,1,32.8617
1,317,1,30.9916
1,318,1,32.4165
1,319,1,33.2197
0,320,1,78.3399
1,321,1,79.7546
1,322,1,80.3104
0,323,1,80.6553
1,324,1,82.4202
1,325,1,83.3952
1,326,1,71.744
0,327,1,72.1839
0,328,1,67.4696
1,329,1,67.4007
1,330,1,64.6338
0,331,1,62.6331
1,332,1,62.1747
1,333,1,63.9002
1,334,1,66.864
0,335,1,61.6358
1,336,1,61.2763
1,337,1,56.4374
1,338,1,56.0456
1,339,1,54.4994
1,340,1,52.9135
0,341,1,52.1941
1,342,1,56.5779
1,343,1,57.1699
1,344,1,46.8487
1,345,1,45.7333
0,346,1,45.4499
1,347,1,50.5945
1,348,1,49.168
1,349,1,41.1977
1,350,1,40.0592
1,351,1,39.317
1,352,1,39.6574
1,353,1,35.5296
0,354,1,36.3402
1,355,1,33.4324
1,356,1,32.8828
1,357,1,32.0823
1,358,1,33.3508
1,359,1,33.8129
1,360,1,35.6346
1,361,1,79.2339
1,362,1,80.2086
1,363,1,81.1394
1,364,1,81.628
1,365,1,82.4897
1,366,1,83.7283
1,367,1,70.8162
1,368,1,71.0622
1,369,1,68.2101
1,370,1,66.8926
1,371,1,66.0341
1,372,1,63.9206
1,373,1,63.1272
1,374,1,65.5526
1,375,1,64.692
1,376,1,64.3431
1,377,1,61.2653
1,378,1,59.3959
1,379,1,56.2156
1,380,1,55.7244
1,381,1,53.6312
1,382,1,53.7899
1,383,1,55.6186
1,384,1,57.2283
1,385,1,51.6447
1,386,1,50.2529
1,387,1,49.8064
1,388,1,50.2671
1,389,1,47.909
1,390,1,46.9078
1,391,1,44.3925
1,392,1,43.894
0,393,1,40.3207
1,394,1,42.4762
1,395,1,35.0907
1,396,1,34.8712
0,397,1,34.2008
1,398,1,33.2029
1,399,1,36.3209
1,400,1,37.294
1,401,1,37.4455
1,402,1,38.8013
1,403,1,84.2674
1,404,1,81.3165
1,405,1,85.8731
1,406,1,84.2014
0,407,1,83.938
1,408,1,84.214
1,409,1,70.4103
1,410,1,69.256
1,411,1,68.7627
1,412,1,67.1319
1,413,1,65.5419
1,414,1,64.563
1,415,1,64.5345
1,416,1,64.9712
0,417,1,64.3607
1,418,1,63.2919
1,419,1,62.5526
1,420,1,61.7904
1,421,1,58.3824
1,422,1,57.1566
1,423,1,55.1278
1,424,1,54.5427
1,425,1,55.2654
1,426,1,52.8295
1,427,1,51.6856
1,428,1,50.8866
1,429,1,48.1945
1,430,1,47.32
0,431,1,46.6983
1,432,1,45.5175
1,433,1,45.0347
1,434,1,42.4022
1,435,1,41.3437
1,436,1,42.4762
1,437,1,36.9491
1,438,1,35.7681
1,439,1,35.5933
1,440,1,34.317
1,441,1,35.867
1,442,1,38.5327
1,443,1,38.2352
1,444,1,38.0484
1,445,1,38.4254
0,446,1,83.7027
1,447,1,84.5228
1,448,1,85.5344
1,449,1,88.5754
1,450,1,89.4637
1,451,1,89.356
1,452,1,70.6142
1,453,1,69.9722
1,454,1,68.808
0,455,1,67.0156
1,456,1,66.0549
1,457,1,67.2773
1,458,1,69.3056
1,459,1,65.8105
1,460,1,65.336
1,461,1,64.0351
1,462,1,62.3604
1,463,1,61.0531
1,464,1,60.2119
1,465,1,58.0208
1,466,1,56.9675
1,467,1,55.7609
1,468,1,56.3683
1,469,1,52.2322
1,470,1,51.5966
1,471,1,49.0169
1,472,1,48.2609
1,473,1,48.8805
1,474,1,46.0047
1,475,1,44.9877
1,476,1,43.978
1,477,1,43.0299
0,478,1,42.5052
1,479,1,42.6261
1,480,1,41.5792
1,481,1,42.7989
1,482,1,36.2554
1,483,1,35.4294
1,484,1,37.1351
1,485,1,37.761
1,486,1,38.691
1,487,1,39.3106
1,488,1,41.0862
0,489,1,44.0131
1,490,1,82.2741
1,491,1,84.6411
1,492,1,86.8665
1,493,1,87.0792
1,494,1,88.0532
1,495,1,89.0172
1,496,1,70.723
1,497,1,70.2496
1,498,1,91.7074
1,499,1,67.3015
1,500,1,67.3015
0,501,1,69.225
1,502,1,69.064
1,503,1,68.0304
1,504,1,66.7266
1,505,1,64.0995
1,506,1,63.7044
1,507,1,64.213
1,508,1,60.0898
1,509,1,58.8168
1,510,1,58.3899
1,511,1,56.7579
1,512,1,57.5115
1,513,1,53.0171
1,514,1,50.6041
1,515,1,49.6258
1,516,1,49.3121
1,517,1,51.748
1,518,1,46.7494
1,519,1,45.907
1,520,1,45.5608
1,521,1,44.0988
1,522,1,43.5884
1,523,1,44.8362
1,524,1,45.367
1,525,1,39.4092
1,526,1,38.6645
0,527,1,38.0265
1,528,1,38.2776
1,529,1,38.2316
1,530,1,41.0212
1,531,1,41.0402
1,532,1,41.0792
1,533,1,43.3778
1,534,1,43.6221
1,535,1,82.8914
1,536,1,83.7854
1,537,1,85.6341
1,538,1,86.2983
1,539,1,88.6449
1,540,1,89.2559
0,541,1,89.6089
1,542,1,90.9037
1,543,1,73.3116
1,544,1,72.565
1,545,1,70.2476
1,546,1,69.7025
1,547,1,68.3453
1,548,1,66.957
1,549,1,66.2527
1,550,1,64.7749
0,551,1,63.4106
1,552,1,62.3894
1,553,1,61.0623
1,554,1,59.6116
1,555,1,58.5026
1,556,1,58.0318
1,557,1,58.8644
1,558,1,52.3869
1,559,1,52.1486
1,560,1,50.6865
1,561,1,51.0103
1,562,1,51.2505
1,563,1,47.6432
1,564,1,49.5325
1,565,1,48.1758
1,566,1,46.0033
1,567,1,44.6127
1,568,1,45.2013
1,569,1,45.2961
1,570,1,39.6506
1,571,1,38.1621
1,572,1,37.6762
1,573,1,38.7489
1,574,1,39.9073
1,575,1,39.7663
1,576,1,40.5106
0,577,1,41.4784
0,578,1,42.4454
1,579,1,53.9059
1,580,1,44.8603
1,581,1,81.9108
1,582,1,84.1952
1,583,1,84.6977
1,584,1,86.1765
1,585,1,89.3767
0,586,1,89.2877
1,587,1,89.754
1,588,1,92.0872
1,589,1,74.2469
1,590,1,74.2686
0,591,1,71.2118
1,592,1,70.6726
1,593,1,68.9789
1,594,1,69.5402
1,595,1,66.2259
1,596,1,66.3674
1,597,1,63.7735
1,598,1,62.3759
1,599,1,61.1597
1,600,1,59.8827
1,601,1,60.5652
1,602,1,59.4674
1,603,1,59.3484
0,604,1,60.4319
0,605,1,60.4551
1,606,1,60.1498
1,607,1,59.6062
1,608,1,52.1997
1,609,1,48.5661
1,610,1,47.6033
1,611,1,46.6869
1,612,1,43.1424
1,613,1,41.9972
1,614,1,41.0571
0,615,1,39.6248
1,616,1,38.8053
1,617,1,48.0127
1,618,1,40.0047
1,619,1,40.86
1,620,1,40.9842
1,621,1,42.1712
1,622,1,42.1712
1,623,1,43.5266
1,624,1,52.7875
1,625,1,53.92
1,626,1,54.4979
1,627,1,82.0921
1,628,1,83.2177
1,629,1,83.8588
1,630,1,88.227
1,631,1,88.1835
1,632,1,88.3124
1,633,1,89.2327
1,634,1,75.5224
1,635,1,74.6149
1,636,1,72.7984
1,637,1,72.145
1,638,1,70.609
0,639,1,69.9525
1,640,1,68.3004
1,641,1,67.1861
1,642,1,67.8445
1,643,1,68.3824
1,644,1,61.7307
1,645,1,61.5724
1,646,1,60.9481
1,647,1,61.6482
1,648,1,61.5377
1,649,1,60.4123
1,650,1,61.2947
1,651,1,61.6879
1,652,1,59.4285
0,653,1,58.4478
1,654,1,53.2446
1,655,1,58.3155
1,656,1,49.6155
1,657,1,58.3376
1,658,1,47.1145
1,659,1,47.0174
1,660,1,42.6595
1,661,1,41.102
1,662,1,40.6252
0,663,1,41.3941
1,664,1,46.8243
1,665,1,41.1159
1,666,1,42.4921
1,667,1,50.4322
1,668,1,49.595
1,669,1,50.9723
1,670,1,50.6289
1,671,1,51.6761
1,672,1,52.2444
1,673,1,53.1346
1,674,1,53.7111
1,675,1,83.7932
1,676,1,84.202
1,677,1,84.5546
1,678,1,85.1748
1,679,1,86.8565
1,680,1,88.5881
1,681,1,89.6871
1,682,1,90.8019
1,683,1,75.4512
1,684,1,72.4206
1,685,1,79.6771
1,686,1,80.233
1,687,1,81.5813
1,688,1,68.648
1,689,1,68.7314
1,690,1,67.4048
1,691,1,67.8768
1,692,1,62.7758
1,693,1,62.7167
1,694,1,62.1264
0,695,1,62.4653
1,696,1,62.0531
1,697,1,61.5671
0,698,1,61.7763
1,699,1,60.9593
1,700,1,61.1192
1,701,1,58.4432
1,702,1,56.9482
1,703,1,56.0586
1,704,1,56.8961
1,705,1,57.9104
1,706,1,44.555
0,707,1,44.4154
0,708,1,42.6439
1,709,1,48.1308
1,710,1,49.0648
1,711,1,47.3068
1,712,1,45.73
1,713,1,46.9753
1,714,1,47.6505
1,715,1,47.6505
0,716,1,48.6
1,717,1,49.1264
1,718,1,50.0159
1,719,1,50.9043
1,720,1,51.7962
1,721,1,54.6068
1,722,1,54.791
1,723,1,54.7859
0,724,1,86.8102
1,725,1,85.6407
1,726,1,85.9243
1,727,1,85.7306
1,728,1,86.9783
1,729,1,87.4144
1,730,1,88.897
1,731,1,80.4623
