,Origin GEOID,Destination GID,Distance (km)
1,1255,1,63.7332
1,1256,1,63.0479
1,1257,1,80.4808
1,1258,1,81.1413
1,1259,1,81.3125
1,1260,1,98.5259
1,1261,1,89.0735
1,1262,1,86.8582
1,1263,1,86.3989
0,1264,1,83.3408
1,1265,1,82.4832
1,1266,1,82.2192
1,1267,1,81.0868
0,1268,1,80.8327
1,1269,1,80.7115
1,1270,1,80.3872
1,1271,1,80.3872
1,1272,1,73.0218
1,1273,1,73.0218
1,1274,1,74.043
1,1275,1,70.6278
1,1276,1,70.9122
1,1277,1,71.1932
1,1278,1,72.0885
1,1279,1,65.1102
1,1280,1,64.1003
1,1281,1,63.8369
1,1282,1,61.715
0,1283,1,60.9191
1,1284,1,60.0469
0,1285,1,59.8697
1,1286,1,59.6812
1,1287,1,59.773
1,1288,1,61.0342
1,1289,1,57.7102
1,1290,1,56.7242
1,1291,1,56.5091
1,1292,1,58.9189
1,1293,1,58.704
0,1294,1,56.5876
1,1295,1,56.5844
1,1296,1,54.524
1,1297,1,53.4758
1,1298,1,54.5469
1,1299,1,55.5186
1,1300,1,56.497
1,1301,1,57.4899
1,1302,1,58.311
1,1303,1,59.6469
1,1304,1,60.8742
1,1305,1,64.2881
1,1306,1,65.368
1,1307,1,65.1589
1,1308,1,66.3184
1,1309,1,75.5201
1,1310,1,74.8968
0,1311,1,74.3401
1,1312,1,74.7694
1,1313,1,78.3991
1,1314,1,79.0093
1,1315,1,80.2765
1,1316,1,81.1775
1,1317,1,81.1775
1,1318,1,98.5259
1,1319,1,84.4749
1,1320,1,84.4749
1,1321,1,84.4749
0,1322,1,83.0032
1,1323,1,81.4
1,1324,1,81.1505
1,1325,1,80.9012
1,1326,1,79.7558
1,1327,1,79.8592
1,1328,1,79.8592
1,1329,1,73.1524
0,1330,1,73.1918
1,1331,1,72.2288
1,1332,1,71.0658
1,1333,1,70.1921
1,1334,1,68.0357
1,1335,1,67.1871
1,1336,1,67.5944
1,1337,1,66.0452
1,1338,1,66.5713
1,1339,1,63.1147
1,1340,1,62.3548
1,1341,1,62.7221
1,1342,1,61.9265
1,1343,1,61.0903
1,1344,1,60.7724
0,1345,1,61.7905
1,1346,1,61.246
1,1347,1,58.2223
1,1348,1,63.1155
1,1349,1,61.3792
1,1350,1,60.1264
1,1351,1,59.9858
1,1352,1,59.8204
1,1353,1,57.9147
1,1354,1,58.1222
1,1355,1,56.3665
1,1356,1,56.7898
1,1357,1,55.664
1,1358,1,57.2806
1,1359,1,58.4188
1,1360,1,59.06
1,1361,1,60.9495
1,1362,1,62.556
1,1363,1,65.1142
1,1364,1,72.7486
1,1365,1,72.3582
1,1366,1,71.113
1,1367,1,71.2838
1,1368,1,72.0844
1,1369,1,72.8642
0,1370,1,75.7111
1,1371,1,75.7683
1,1372,1,77.5377
1,1373,1,78.2821
1,1374,1,81.1987
1,1375,1,81.1987
1,1376,1,81.1987
1,1377,1,79.9719
1,1378,1,88.5912
1,1379,1,84.5744
1,1380,1,84.2733
1,1381,1,84.0109
0,1382,1,82.467
1,1383,1,81.0375
1,1384,1,80.0754
0,1385,1,79.2875
1,1386,1,78.6982
0,1387,1,78.4286
1,1388,1,78.173
1,1389,1,72.8834
1,1390,1,72.8524
1,1391,1,71.4116
1,1392,1,70.2803
0,1393,1,69.6347
1,1394,1,69.2553
0,1395,1,70.1301
1,1396,1,72.897
1,1397,1,68.3978
1,1398,1,67.5608
1,1399,1,65.2812
1,1400,1,64.1722
1,1401,1,63.6131
1,1402,1,65.9772
1,1403,1,63.1765
1,1404,1,61.8849
1,1405,1,62.8464
1,1406,1,62.1786
1,1407,1,59.246
1,1408,1,62.4605
1,1409,1,61.9201
1,1410,1,61.1138
1,1411,1,60.9097
0,1412,1,60.6521
1,1413,1,60.1748
1,1414,1,59.9689
1,1415,1,58.898
1,1416,1,57.9016
1,1417,1,58.259
0,1418,1,57.4542
1,1419,1,58.6568
1,1420,1,59.7262
1,1421,1,63.2309
1,1422,1,62.9083
1,1423,1,73.3669
1,1424,1,73.3669
1,1425,1,71.5586
1,1426,1,70.6618
1,1427,1,70.6403
1,1428,1,71.4293
1,1429,1,73.0291
1,1430,1,73.9073
1,1431,1,76.6192
1,1432,1,77.2436
1,1433,1,77.9423
1,1434,1,81.1987
1,1435,1,81.1987
0,1436,1,81.1987
1,1437,1,79.9719
1,1438,1,79.9719
1,1439,1,87.7547
1,1440,1,88.4931
1,1441,1,84.2706
1,1442,1,82.8866
0,1443,1,81.9464
1,1444,1,80.9951
1,1445,1,79.2956
0,1446,1,78.5593
1,1447,1,77.8231
1,1448,1,77.356
1,1449,1,76.8105
1,1450,1,73.3697
1,1451,1,72.7809
1,1452,1,71.9439
1,1453,1,72.5728
1,1454,1,74.1688
1,1455,1,70.2125
1,1456,1,71.1678
1,1457,1,69.9063
1,1458,1,67.5015
1,1459,1,66.9445
1,1460,1,66.8151
0,1461,1,65.5186
1,1462,1,64.7265
1,1463,1,64.7317
1,1464,1,65.1564
1,1465,1,62.9976
1,1466,1,63.512
0,1467,1,66.0725
1,1468,1,63.759
1,1469,1,64.7332
1,1470,1,63.1153
1,1471,1,62.1414
0,1472,1,62.1041
1,1473,1,61.9174
1,1474,1,60.8418
1,1475,1,60.8252
1,1476,1,58.3433
1,1477,1,67.4389
1,1478,1,59.7709
1,1479,1,58.3956
1,1480,1,60.6595
1,1481,1,67.4182
1,1482,1,67.4667
1,1483,1,73.3669
1,1484,1,69.1205
1,1485,1,68.8883
0,1486,1,69.1906
1,1487,1,69.9785
1,1488,1,72.2434
1,1489,1,72.7653
1,1490,1,73.6487
1,1491,1,79.2228
1,1492,1,78.8034
1,1493,1,78.2366
1,1494,1,78.2366
1,1495,1,78.2366
1,1496,1,79.81
1,1497,1,79.81
1,1498,1,79.6951
1,1499,1,78.8565
1,1500,1,86.2146
0,1501,1,87.2586
1,1502,1,84.3643
0,1503,1,84.0716
1,1504,1,81.3356
1,1505,1,80.8603
1,1506,1,77.8537
1,1507,1,77.8537
1,1508,1,77.2494
1,1509,1,76.2014
1,1510,1,74.7644
1,1511,1,73.9134
1,1512,1,75.0675
1,1513,1,75.4711
1,1514,1,74.3092
1,1515,1,72.867
1,1516,1,72.0307
1,1517,1,74.0201
0,1518,1,70.2055
1,1519,1,69.0512
1,1520,1,67.9282
1,1521,1,67.7023
1,1522,1,66.5044
0,1523,1,65.824
1,1524,1,65.9126
1,1525,1,65.7735
0,1526,1,64.1095
1,1527,1,66.1403
1,1528,1,66.0397
1,1529,1,64.7887
0,1530,1,64.785
1,1531,1,64.3203
1,1532,1,63.4712
1,1533,1,63.463
1,1534,1,62.9843
1,1535,1,62.7286
1,1536,1,63.7408
1,1537,1,60.9593
1,1538,1,67.7812
1,1539,1,67.2363
1,1540,1,66.4436
1,1541,1,65.0225
1,1542,1,67.1734
1,1543,1,67.4667
1,1544,1,65.7956
1,1545,1,67.0198
1,1546,1,67.9498
1,1547,1,69.5714
1,1548,1,70.1865
1,1549,1,72.9894
1,1550,1,72.9894
1,1551,1,81.0425
1,1552,1,80.2913
1,1553,1,79.8408
1,1554,1,79.8408
1,1555,1,78.284
1,1556,1,78.2366
1,1557,1,79.81
1,1558,1,79.81
1,1559,1,79.81
1,1560,1,78.0088
1,1561,1,77.38
1,1562,1,87.6313
0,1563,1,84.6431
1,1564,1,83.4498
1,1565,1,83.0776
1,1566,1,81.4083
1,1567,1,80.5363
1,1568,1,79.289
1,1569,1,78.344
1,1570,1,77.231
0,1571,1,76.3712
0,1572,1,76.0283
1,1573,1,76.7009
1,1574,1,75.6916
1,1575,1,78.7673
1,1576,1,75.7543
1,1577,1,76.7424
0,1578,1,77.4763
1,1579,1,73.0345
1,1580,1,73.1549
1,1581,1,69.1718
1,1582,1,68.5926
1,1583,1,68.5976
1,1584,1,67.6049
1,1585,1,67.759
1,1586,1,67.5569
1,1587,1,67.7102
1,1588,1,65.2219
1,1589,1,65.2148
1,1590,1,67.3369
1,1591,1,65.898
1,1592,1,66.627
1,1593,1,67.6366
1,1594,1,64.5835
1,1595,1,64.5753
1,1596,1,63.4861
1,1597,1,63.3455
0,1598,1,64.2538
1,1599,1,64.2716
1,1600,1,67.7812
1,1601,1,67.2018
1,1602,1,66.4983
1,1603,1,64.5952
1,1604,1,63.5468
0,1605,1,63.8737
1,1606,1,64.6118
1,1607,1,65.5795
1,1608,1,66.4711
1,1609,1,67.6756
1,1610,1,71.1222
1,1611,1,71.1571
1,1612,1,71.6887
1,1613,1,73.454
1,1614,1,79.4297
1,1615,1,79.134
1,1616,1,79.7837
1,1617,1,79.9776
1,1618,1,79.9776
1,1619,1,79.9776
1,1620,1,79.81
1,1621,1,79.81
0,1622,1,76.9976
1,1623,1,76.7186
1,1624,1,76.4379
1,1625,1,76.1873
1,1626,1,87.6749
1,1627,1,85.2789
0,1628,1,85.1442
1,1629,1,82.6042
1,1630,1,81.6921
1,1631,1,80.1358
1,1632,1,79.5156
1,1633,1,79.0947
1,1634,1,77.7183
0,1635,1,77.6609
0,1636,1,77.3362
1,1637,1,78.2813
1,1638,1,79.7241
1,1639,1,80.758
1,1640,1,81.4142
1,1641,1,76.5945
1,1642,1,77.0002
1,1643,1,74.0611
1,1644,1,74.5907
1,1645,1,72.0913
0,1646,1,69.7034
1,1647,1,69.7108
1,1648,1,70.5037
1,1649,1,69.537
1,1650,1,68.5544
1,1651,1,67.4966
1,1652,1,66.3341
1,1653,1,66.3308
1,1654,1,68.2661
1,1655,1,67.0048
1,1656,1,68.1832
1,1657,1,68.0543
1,1658,1,67.3143
1,1659,1,65.9157
1,1660,1,66.0805
1,1661,1,70.6146
0,1662,1,69.7814
1,1663,1,68.5682
1,1664,1,67.5922
1,1665,1,66.6197
1,1666,1,65.6461
1,1667,1,64.61
1,1668,1,81.9319
1,1669,1,63.1485
1,1670,1,63.8864
1,1671,1,68.3266
1,1672,1,68.0235
1,1673,1,68.4238
1,1674,1,72.3384
1,1675,1,72.3384
1,1676,1,72.5352
1,1677,1,73.4037
1,1678,1,77.5729
1,1679,1,78.31
1,1680,1,79.065
1,1681,1,79.8086
1,1682,1,87.8207
1,1683,1,88.5629
1,1684,1,88.7169
1,1685,1,77.9738
1,1686,1,77.0959
1,1687,1,76.1309
1,1688,1,75.4434
1,1689,1,74.3761
1,1690,1,77.1947
1,1691,1,87.8051
1,1692,1,85.3249
1,1693,1,85.9315
1,1694,1,86.6199
1,1695,1,88.1044
1,1696,1,89.0489
1,1697,1,89.9664
0,1698,1,79.3244
1,1699,1,79.6229
1,1700,1,78.7666
1,1701,1,78.9601
1,1702,1,78.776
1,1703,1,79.4177
1,1704,1,81.2468
0,1705,1,82.4901
0,1706,1,86.7733
1,1707,1,86.0438
1,1708,1,74.8392
1,1709,1,73.6056
1,1710,1,72.404
1,1711,1,71.1409
1,1712,1,70.8266
1,1713,1,71.6252
1,1714,1,71.5386
1,1715,1,70.319
1,1716,1,67.4555
1,1717,1,67.4464
1,1718,1,68.8143
1,1719,1,69.4431
1,1720,1,68.1767
1,1721,1,69.2199
1,1722,1,69.2203
1,1723,1,66.8232
1,1724,1,66.8136
1,1725,1,67.3639
1,1726,1,71.1681
1,1727,1,70.2624
1,1728,1,70.2645
1,1729,1,68.5041
1,1730,1,67.7031
1,1731,1,66.22
1,1732,1,66.0298
1,1733,1,63.766
1,1734,1,63.3794
1,1735,1,63.8529
1,1736,1,71.0677
1,1737,1,71.0677
1,1738,1,71.7813
1,1739,1,72.6456
1,1740,1,72.7962
1,1741,1,74.6713
1,1742,1,76.5056
1,1743,1,76.6586
1,1744,1,87.4003
1,1745,1,87.8207
1,1746,1,87.8207
1,1747,1,88.4583
1,1748,1,88.7515
1,1749,1,89.9841
1,1750,1,77.5786
1,1751,1,76.7414
1,1752,1,75.8416
1,1753,1,78.8765
1,1754,1,78.281
1,1755,1,76.9536
1,1756,1,90.6401
1,1757,1,89.7025
1,1758,1,89.0566
1,1759,1,87.659
1,1760,1,87.4148
1,1761,1,89.3001
1,1762,1,80.6591
1,1763,1,80.6727
1,1764,1,81.4936
1,1765,1,79.877
1,1766,1,79.4961
1,1767,1,79.749
1,1768,1,80.3646
1,1769,1,82.2434
1,1770,1,83.0733
1,1771,1,84.7389
0,1772,1,85.3912
1,1773,1,75.3026
1,1774,1,73.9055
1,1775,1,73.519
1,1776,1,72.1024
1,1777,1,71.9282
1,1778,1,72.8666
1,1779,1,71.8015
1,1780,1,71.1974
1,1781,1,68.7154
1,1782,1,68.5586
1,1783,1,69.821
1,1784,1,70.2634
1,1785,1,69.2769
1,1786,1,69.1339
1,1787,1,69.5361
1,1788,1,68.7772
0,1789,1,67.9222
1,1790,1,76.4529
1,1791,1,75.3746
1,1792,1,71.3737
1,1793,1,71.3934
1,1794,1,68.6182
1,1795,1,69.0723
0,1796,1,67.7185
1,1797,1,65.1413
1,1798,1,64.7859
1,1799,1,64.5572
1,1800,1,64.8844
1,1801,1,70.2957
1,1802,1,69.7664
1,1803,1,70.6364
1,1804,1,71.4351
1,1805,1,73.7514
1,1806,1,74.6701
1,1807,1,75.5162
1,1808,1,76.2047
1,1809,1,88.1916
0,1810,1,87.2452
1,1811,1,87.7288
1,1812,1,87.1032
1,1813,1,87.8513
1,1814,1,88.9835
1,1815,1,90.2567
1,1816,1,90.9815
1,1817,1,77.717
1,1818,1,77.7973
1,1819,1,77.9277
1,1820,1,79.673
1,1821,1,77.8675
1,1822,1,79.1467
1,1823,1,90.3082
0,1824,1,89.3092
0,1825,1,87.8916
1,1826,1,86.7715
1,1827,1,85.8861
1,1828,1,82.8465
1,1829,1,81.7049
1,1830,1,81.7019
1,1831,1,81.8572
1,1832,1,80.9991
1,1833,1,82.6152
1,1834,1,81.6989
0,1835,1,81.1925
1,1836,1,82.2507
1,1837,1,83.1948
0,1838,1,84.6521
1,1839,1,84.9367
1,1840,1,84.5628
1,1841,1,74.7974
1,1842,1,74.6312
1,1843,1,73.1421
1,1844,1,73.0404
1,1845,1,73.8002
1,1846,1,72.3114
1,1847,1,72.3098
1,1848,1,77.2268
1,1849,1,69.671
1,1850,1,69.7891
1,1851,1,70.5479
1,1852,1,79.6802
1,1853,1,79.4001
1,1854,1,81.267
1,1855,1,69.0402
0,1856,1,81.9107
1,1857,1,75.6611
1,1858,1,74.8325
1,1859,1,72.4859
1,1860,1,73.2472
1,1861,1,73.5779
1,1862,1,70.1847
1,1863,1,70.9425
1,1864,1,68.0792
1,1865,1,65.4083
0,1866,1,66.2502
1,1867,1,66.0234
1,1868,1,67.5319
0,1869,1,68.2727
1,1870,1,69.855
0,1871,1,71.1463
1,1872,1,85.9211
1,1873,1,85.9614
1,1874,1,77.0699
1,1875,1,77.0434
1,1876,1,77.6791
1,1877,1,86.3991
1,1878,1,85.7559
1,1879,1,86.3971
1,1880,1,89.2637
1,1881,1,89.462
1,1882,1,90.803
1,1883,1,90.9793
1,1884,1,80.4965
1,1885,1,79.9923
1,1886,1,78.9905
1,1887,1,79.6745
1,1888,1,82.0338
1,1889,1,79.3492
1,1890,1,80.9141
1,1891,1,90.6483
1,1892,1,88.3725
1,1893,1,88.4612
1,1894,1,85.8983
1,1895,1,84.8105
1,1896,1,83.0562
1,1897,1,82.4828
1,1898,1,86.6934
1,1899,1,87.1376
1,1900,1,84.1425
1,1901,1,84.2769
1,1902,1,82.391
1,1903,1,82.631
1,1904,1,83.4837
1,1905,1,83.9585
1,1906,1,84.6088
1,1907,1,84.0028
1,1908,1,83.2765
1,1909,1,81.4337
1,1910,1,81.4337
1,1911,1,74.3801
0,1912,1,78.8754
1,1913,1,78.7585
1,1914,1,77.1604
1,1915,1,76.5191
1,1916,1,76.4884
1,1917,1,70.7832
1,1918,1,70.7758
1,1919,1,79.0359
1,1920,1,79.0265
1,1921,1,78.3485
1,1922,1,78.9284
1,1923,1,79.8955
1,1924,1,80.6774
1,1925,1,82.6727
1,1926,1,74.7268
1,1927,1,73.5011
1,1928,1,73.9377
1,1929,1,72.9864
1,1930,1,72.7668
1,1931,1,70.9425
1,1932,1,69.4676
1,1933,1,68.0108
1,1934,1,67.395
1,1935,1,68.0764
1,1936,1,67.5027
1,1937,1,68.7214
1,1938,1,69.7505
1,1939,1,70.414
1,1940,1,84.2456
1,1941,1,85.4899
1,1942,1,78.31
1,1943,1,77.2604
1,1944,1,83.5068
1,1945,1,84.3491
1,1946,1,84.9198
1,1947,1,86.1662
1,1948,1,89.8954
1,1949,1,91.5487
1,1950,1,91.2135
1,1951,1,82.876
1,1952,1,82.3811
1,1953,1,81.0997
1,1954,1,80.3007
0,1955,1,80.5807
1,1956,1,80.9707
1,1957,1,82.5415
1,1958,1,80.9841
1,1959,1,94.4847
1,1960,1,91.4434
1,1961,1,89.1476
1,1962,1,87.8804
1,1963,1,86.9399
1,1964,1,84.4972
1,1965,1,84.1278
1,1966,1,84.844
1,1967,1,85.7814
1,1968,1,86.7184
1,1969,1,85.2438
1,1970,1,88.5516
1,1971,1,87.9253
1,1972,1,83.8964
1,1973,1,84.8399
1,1974,1,85.0425
1,1975,1,83.9965
1,1976,1,82.901
1,1977,1,81.8776
1,1978,1,80.6528
1,1979,1,79.6786
1,1980,1,78.7037
1,1981,1,78.2113
1,1982,1,76.8721
1,1983,1,76.6258
1,1984,1,76.0427
0,1985,1,75.5154
0,1986,1,71.895
1,1987,1,73.798
1,1988,1,74.7652
1,1989,1,77.168
0,1990,1,77.28
1,1991,1,78.2375
1,1992,1,79.641
1,1993,1,81.1335
1,1994,1,81.1444
1,1995,1,89.6184
1,1996,1,74.3377
1,1997,1,73.3601
1,1998,1,72.3882
1,1999,1,71.4113
1,2000,1,70.4408
1,2001,1,69.4909
1,2002,1,69.7318
0,2003,1,70.5208
1,2004,1,70.3554
1,2005,1,69.7154
1,2006,1,68.9814
1,2007,1,73.0232
1,2008,1,70.2669
1,2009,1,83.5678
1,2010,1,82.7204
1,2011,1,82.5024
1,2012,1,82.4127
1,2013,1,82.5657
1,2014,1,83.3918
1,2015,1,84.6105
1,2016,1,88.2477
1,2017,1,87.7732
1,2018,1,90.875
1,2019,1,90.2276
1,2020,1,92.7999
1,2021,1,92.8957
1,2022,1,82.5341
1,2023,1,82.1442
1,2024,1,82.8834
1,2025,1,82.073
1,2026,1,83.0812
1,2027,1,84.2181
1,2028,1,93.1899
1,2029,1,91.9867
1,2030,1,90.5387
1,2031,1,89.815
1,2032,1,87.8346
1,2033,1,85.6496
1,2034,1,85.9387
1,2035,1,85.6561
1,2036,1,85.4601
1,2037,1,85.6842
1,2038,1,86.7512
1,2039,1,86.6767
1,2040,1,86.5095
1,2041,1,87.3014
1,2042,1,84.7812
1,2043,1,85.4609
1,2044,1,85.2029
1,2045,1,84.2608
1,2046,1,83.8856
1,2047,1,81.5845
1,2048,1,80.853
1,2049,1,80.4949
1,2050,1,79.2547
1,2051,1,78.8598
1,2052,1,76.9763
1,2053,1,75.6589
1,2054,1,74.6836
1,2055,1,73.7087
1,2056,1,73.0075
1,2057,1,74.1056
1,2058,1,74.7802
1,2059,1,75.817
0,2060,1,77.1357
1,2061,1,78.197
0,2062,1,78.828
1,2063,1,79.7819
1,2064,1,80.7554
1,2065,1,88.5955
1,2066,1,88.266
1,2067,1,89.4646
1,2068,1,87.3193
1,2069,1,86.7371
1,2070,1,71.0135
1,2071,1,71.2397
1,2072,1,70.3451
1,2073,1,69.896
1,2074,1,71.2133
1,2075,1,70.6855
1,2076,1,76.3489
1,2077,1,73.6364
1,2078,1,71.0521
1,2079,1,83.8446
1,2080,1,82.1805
1,2081,1,81.3221
1,2082,1,80.8634
0,2083,1,81.6254
1,2084,1,82.9131
1,2085,1,84.8516
1,2086,1,86.1764
1,2087,1,87.5362
0,2088,1,88.5251
1,2089,1,92.1523
1,2090,1,91.1791
1,2091,1,93.6962
1,2092,1,91.9712
1,2093,1,91.8611
1,2094,1,92.8504
1,2095,1,83.754
1,2096,1,83.3169
0,2097,1,83.7909
1,2098,1,93.8246
1,2099,1,92.2436
1,2100,1,94.559
1,2101,1,94.9781
1,2102,1,87.6774
1,2103,1,86.9257
1,2104,1,87.2433
1,2105,1,88.8776
1,2106,1,86.5322
1,2107,1,88.4664
1,2108,1,89.0775
0,2109,1,88.0885
1,2110,1,88.0491
1,2111,1,88.0545
1,2112,1,85.868
1,2113,1,86.1084
1,2114,1,86.355
1,2115,1,84.7204
1,2116,1,84.9641
1,2117,1,85.208
1,2118,1,81.6069
1,2119,1,81.6073
1,2120,1,80.014
1,2121,1,80.2564
1,2122,1,77.983
1,2123,1,78.0382
1,2124,1,75.7811
1,2125,1,75.6591
1,2126,1,74.1197
1,2127,1,74.6437
1,2128,1,75.768
1,2129,1,77.2248
1,2130,1,77.9613
1,2131,1,81.1047
1,2132,1,80.0175
1,2133,1,80.9377
1,2134,1,81.2639
1,2135,1,88.2351
1,2136,1,88.9625
1,2137,1,86.3563
0,2138,1,86.2487
1,2139,1,84.8814
1,2140,1,71.998
1,2141,1,71.6218
1,2142,1,71.8028
1,2143,1,71.0667
1,2144,1,77.8937
1,2145,1,76.6606
1,2146,1,75.3139
1,2147,1,74.3921
1,2148,1,72.2985
1,2149,1,83.2864
1,2150,1,81.6543
1,2151,1,79.6783
1,2152,1,80.1266
1,2153,1,81.2322
1,2154,1,82.527
1,2155,1,83.5816
1,2156,1,86.2778
1,2157,1,87.1689
1,2158,1,91.0021
1,2159,1,90.884
1,2160,1,89.7291
1,2161,1,90.0129
0,2162,1,90.3833
1,2163,1,92.0902
1,2164,1,92.9468
1,2165,1,93.3403
1,2166,1,96.8922
1,2167,1,97.8674
1,2168,1,98.8424
1,2169,1,93.2344
1,2170,1,92.2736
1,2171,1,93.3027
1,2172,1,88.408
1,2173,1,89.0041
1,2174,1,87.7651
1,2175,1,87.604
1,2176,1,87.8645
1,2177,1,88.8021
1,2178,1,88.9109
1,2179,1,88.9417
1,2180,1,91.1747
1,2181,1,86.9447
1,2182,1,87.1884
1,2183,1,87.4378
1,2184,1,89.0572
1,2185,1,86.0411
1,2186,1,86.2845
1,2187,1,82.7192
1,2188,1,82.8056
1,2189,1,81.7348
1,2190,1,81.1143
1,2191,1,78.4974
1,2192,1,78.0601
1,2193,1,80.0035
1,2194,1,75.7643
1,2195,1,75.2316
1,2196,1,76.1583
1,2197,1,79.4389
1,2198,1,79.7945
1,2199,1,79.1074
1,2200,1,81.1386
1,2201,1,81.5631
1,2202,1,81.9547
1,2203,1,81.1418
1,2204,1,88.0357
1,2205,1,88.0357
1,2206,1,86.5918
1,2207,1,86.2342
1,2208,1,84.1162
0,2209,1,83.2394
1,2210,1,83.0524
1,2211,1,72.2891
1,2212,1,72.4174
1,2213,1,72.4174
1,2214,1,101.181
1,2215,1,75.3014
1,2216,1,74.9805
1,2217,1,73.4102
1,2218,1,74.804
1,2219,1,73.9225
0,2220,1,78.6376
1,2221,1,79.2301
1,2222,1,81.2322
1,2223,1,82.527
1,2224,1,85.9972
1,2225,1,86.5489
1,2226,1,86.3806
1,2227,1,87.539
1,2228,1,89.8276
1,2229,1,88.2556
1,2230,1,88.9118
1,2231,1,97.6498
1,2232,1,97.7288
1,2233,1,95.5541
1,2234,1,95.249
1,2235,1,96.3635
1,2236,1,98.5446
0,2237,1,92.2437
1,2238,1,91.2135
1,2239,1,89.3207
1,2240,1,90.7874
1,2241,1,91.4147
1,2242,1,92.8905
1,2243,1,88.6757
1,2244,1,88.9363
1,2245,1,89.1966
1,2246,1,89.7736
1,2247,1,90.018
1,2248,1,91.1747
1,2249,1,89.8529
1,2250,1,88.9097
1,2251,1,88.5906
1,2252,1,89.0572
1,2253,1,86.7318
1,2254,1,86.741
1,2255,1,83.828
1,2256,1,83.8421
1,2257,1,83.9246
1,2258,1,87.2045
1,2259,1,88.5867
1,2260,1,88.9348
1,2261,1,79.6713
1,2262,1,79.6738
1,2263,1,76.3444
1,2264,1,77.0886
1,2265,1,78.4355
1,2266,1,79.0389
1,2267,1,80.2295
1,2268,1,80.7759
1,2269,1,84.2353
1,2270,1,82.2005
1,2271,1,90.5162
1,2272,1,89.8428
1,2273,1,88.9601
1,2274,1,87.0362
1,2275,1,85.137
1,2276,1,84.4158
1,2277,1,83.3407
1,2278,1,81.8789
0,2279,1,80.9992
1,2280,1,80.1214
1,2281,1,78.9319
1,2282,1,101.102
1,2283,1,76.9757
1,2284,1,76.0011
1,2285,1,74.8283
1,2286,1,74.6902
0,2287,1,77.2468
1,2288,1,77.754
1,2289,1,78.3466
1,2290,1,80.6355
1,2291,1,85.0626
1,2292,1,85.0626
1,2293,1,86.0477
1,2294,1,85.3796
1,2295,1,89.0899
1,2296,1,88.0443
1,2297,1,88.1461
1,2298,1,89.0164
1,2299,1,90.5553
1,2300,1,96.14
1,2301,1,93.6858
1,2302,1,95.755
1,2303,1,97.5195
1,2304,1,92.002
1,2305,1,91.2841
1,2306,1,90.3982
1,2307,1,91.8966
0,2308,1,91.9717
1,2309,1,93.6913
1,2310,1,94.2869
1,2311,1,90.0082
1,2312,1,90.8537
1,2313,1,91.7015
1,2314,1,90.9539
1,2315,1,91.2442
1,2316,1,89.9908
1,2317,1,90.7055
1,2318,1,89.5919
1,2319,1,91.2723
1,2320,1,91.694
0,2321,1,94.8962
1,2322,1,84.436
1,2323,1,84.4828
1,2324,1,87.0295
1,2325,1,86.2779
1,2326,1,87.2919
1,2327,1,84.3701
1,2328,1,83.6707
1,2329,1,78.1552
1,2330,1,77.4564
1,2331,1,80.7736
1,2332,1,79.5264
1,2333,1,80.1492
1,2334,1,81.1701
1,2335,1,81.6973
1,2336,1,83.0287
1,2337,1,83.2129
1,2338,1,91.544
1,2339,1,90.6083
1,2340,1,90.4035
1,2341,1,94.5709
1,2342,1,95.0963
1,2343,1,95.7799
1,2344,1,95.3703
1,2345,1,96.3474
1,2346,1,97.1739
1,2347,1,98.1256
1,2348,1,99.0605
1,2349,1,100.168
1,2350,1,76.9919
1,2351,1,76.0174
1,2352,1,76.553
0,2353,1,75.8143
1,2354,1,76.3789
1,2355,1,76.2928
1,2356,1,80.2017
1,2357,1,80.6355
1,2358,1,85.0626
1,2359,1,84.7864
1,2360,1,83.9302
1,2361,1,89.9444
1,2362,1,85.2076
1,2363,1,86.5925
1,2364,1,87.6999
1,2365,1,89.0695
1,2366,1,89.6995
1,2367,1,92.2173
1,2368,1,92.9473
1,2369,1,92.9001
1,2370,1,92.2433
1,2371,1,91.4776
1,2372,1,92.2953
1,2373,1,93.2556
0,2374,1,93.908
1,2375,1,96.1254
1,2376,1,91.08
1,2377,1,91.5274
1,2378,1,91.9773
1,2379,1,91.9572
1,2380,1,92.552
1,2381,1,93.3606
1,2382,1,90.7055
1,2383,1,90.6768
1,2384,1,91.7538
1,2385,1,93.4836
1,2386,1,94.5132
1,2387,1,88.6568
1,2388,1,88.3092
1,2389,1,86.1068
1,2390,1,85.2847
1,2391,1,83.8497
1,2392,1,83.8416
1,2393,1,82.0482
1,2394,1,79.2586
1,2395,1,78.5688
0,2396,1,80.0865
1,2397,1,81.7724
1,2398,1,81.1283
1,2399,1,82.1388
0,2400,1,83.1381
1,2401,1,83.165
1,2402,1,84.8079
0,2403,1,86.1754
1,2404,1,87.9941
1,2405,1,87.7974
1,2406,1,94.1677
1,2407,1,93.9556
1,2408,1,94.3026
1,2409,1,95.0347
1,2410,1,95.9825
1,2411,1,97.1232
1,2412,1,98.1458
1,2413,1,99.16
1,2414,1,99.4953
1,2415,1,78.7543
1,2416,1,78.0156
1,2417,1,77.5076
1,2418,1,77.1723
1,2419,1,77.1714
0,2420,1,77.3551
1,2421,1,80.1777
1,2422,1,80.0497
1,2423,1,80.7442
1,2424,1,82.3697
0,2425,1,83.5128
1,2426,1,83.7262
1,2427,1,84.1654
1,2428,1,87.4442
1,2429,1,88.0716
