index,RunID, LON, LAT,tag,Coord_ID,YIELD,land cover,county,Distance to Plant
67,111,-98.5998,29.1677,-98.5998.29.1677,111,11.9444,81,ATASCOSA,45.7742
68,112,-98.5898,29.1677,-98.5898.29.1677,112,11.9444,52,ATASCOSA,44.6372
69,113,-98.5798,29.1677,-98.5798.29.1677,113,11.9444,52,ATASCOSA,46.867
70,114,-98.5698,29.1677,-98.5698.29.1677,114,11.9444,31,ATASCOSA,49.6214
71,115,-98.7998,29.1577,-98.7998.29.1577,115,11.3162,81,ATASCOSA,65.0154
72,118,-98.7698,29.1577,-98.7698.29.1577,118,11.3162,52,ATASCOSA,64.1389
73,119,-98.7598,29.1577,-98.7598.29.1577,119,11.0124,81,ATASCOSA,64.1389
74,120,-98.7498,29.1577,-98.7498.29.1577,120,11.6058,90,ATASCOSA,64.0091
75,121,-98.7398,29.1577,-98.7398.29.1577,121,11.9512,52,ATASCOSA,62.1916
76,122,-98.7298,29.1577,-98.7298.29.1577,122,11.8432,81,ATASCOSA,60.9594
77,124,-98.7098,29.1577,-98.7098.29.1577,124,11.8432,52,ATASCOSA,61.9987
78,125,-98.6998,29.1577,-98.6998.29.1577,125,11.8432,52,ATASCOSA,56.9081
79,126,-98.6898,29.1577,-98.6898.29.1577,126,11.6526,81,ATASCOSA,56.4127
80,130,-98.6498,29.1577,-98.6498.29.1577,130,11.6526,52,ATASCOSA,51.9425
81,131,-98.6398,29.1577,-98.6398.29.1577,131,11.339,71,ATASCOSA,52.223
82,132,-98.6298,29.1577,-98.6298.29.1577,132,11.339,52,ATASCOSA,51.7534
83,135,-98.5998,29.1577,-98.5998.29.1577,135,11.9442,81,ATASCOSA,46.3855
84,136,-98.5898,29.1577,-98.5898.29.1577,136,11.9442,31,ATASCOSA,45.5354
85,137,-98.5798,29.1577,-98.5798.29.1577,137,11.9442,71,ATASCOSA,48.7327
86,138,-98.5698,29.1577,-98.5698.29.1577,138,11.9442,81,ATASCOSA,48.4408
87,139,-98.5598,29.1577,-98.5598.29.1577,139,11.9442,31,ATASCOSA,49.4458
88,146,-98.7598,29.1477,-98.7598.29.1477,146,11.3158,81,ATASCOSA,64.1389
89,147,-98.7498,29.1477,-98.7498.29.1477,147,11.951,81,ATASCOSA,63.8468
90,148,-98.7398,29.1477,-98.7398.29.1477,148,11.6056,52,ATASCOSA,62.7564
91,149,-98.7298,29.1477,-98.7298.29.1477,149,11.951,81,ATASCOSA,62.5608
92,150,-98.7198,29.1477,-98.7198.29.1477,150,11.4866,52,ATASCOSA,62.8568
93,154,-98.6798,29.1477,-98.6798.29.1477,154,11.6526,71,ATASCOSA,57.2662
94,156,-98.6598,29.1477,-98.6598.29.1477,156,11.6526,52,ATASCOSA,55.9059
95,161,-98.6098,29.1477,-98.6098.29.1477,161,11.944,52,ATASCOSA,48.812
96,163,-98.5898,29.1477,-98.5898.29.1477,163,11.944,90,ATASCOSA,46.6738
97,164,-98.5798,29.1477,-98.5798.29.1477,164,11.944,52,ATASCOSA,47.3223
98,166,-98.5598,29.1477,-98.5598.29.1477,166,11.944,31,ATASCOSA,49.4001
99,167,-98.5498,29.1477,-98.5498.29.1477,167,11.944,31,ATASCOSA,50.0746
100,168,-98.5398,29.1477,-98.5398.29.1477,168,11.944,52,ATASCOSA,38.3919
101,169,-98.5298,29.1477,-98.5298.29.1477,169,11.944,52,ATASCOSA,37.7127
102,176,-98.7598,29.1377,-98.7598.29.1377,176,11.3158,81,ATASCOSA,63.8828
103,177,-98.7498,29.1377,-98.7498.29.1377,177,11.951,52,ATASCOSA,64.3094
104,178,-98.7398,29.1377,-98.7398.29.1377,178,11.6056,52,ATASCOSA,64.1897
105,179,-98.7298,29.1377,-98.7298.29.1377,179,11.6056,52,ATASCOSA,63.7354
106,184,-98.6798,29.1377,-98.6798.29.1377,184,11.6524,71,ATASCOSA,57.5784
107,190,-98.6198,29.1377,-98.6198.29.1377,190,11.655,71,ATASCOSA,53.3291
108,191,-98.6098,29.1377,-98.6098.29.1377,191,11.944,81,ATASCOSA,49.6246
109,192,-98.5998,29.1377,-98.5998.29.1377,192,11.944,52,ATASCOSA,48.5418
110,193,-98.5898,29.1377,-98.5898.29.1377,193,11.944,71,ATASCOSA,47.7589
111,194,-98.5798,29.1377,-98.5798.29.1377,194,11.944,81,ATASCOSA,49.2093
112,195,-98.5698,29.1377,-98.5698.29.1377,195,11.655,52,ATASCOSA,51.9635
113,196,-98.5598,29.1377,-98.5598.29.1377,196,11.944,52,ATASCOSA,52.0459
114,199,-98.5298,29.1377,-98.5298.29.1377,199,11.944,81,ATASCOSA,42.9543
115,203,-98.4898,29.1377,-98.4898.29.1377,203,12.0166,31,ATASCOSA,34.6889
116,204,-98.4798,29.1377,-98.4798.29.1377,204,12.0166,71,ATASCOSA,34.0351
117,215,-98.6998,29.1277,-98.6998.29.1277,215,11.6524,52,ATASCOSA,60.114
118,219,-98.6598,29.1277,-98.6598.29.1277,219,11.6524,71,ATASCOSA,62.315
119,220,-98.6498,29.1277,-98.6498.29.1277,220,11.6524,82,ATASCOSA,62.2122
120,224,-98.6098,29.1277,-98.6098.29.1277,224,11.944,52,ATASCOSA,50.1024
121,225,-98.5998,29.1277,-98.5998.29.1277,225,11.944,52,ATASCOSA,49.1562
