VARIABLE,DEPOT,PARCEL,VALUE,Coord_ID,YLT,XLON
X,0,570,1046.7,737,29.0077,-98.6698
X,0,571,1060.56,738,29.0077,-98.6598
X,0,572,1060.56,739,29.0077,-98.6498
X,0,573,1020.66,740,29.0077,-98.6398
X,0,574,1014.52,741,29.0077,-98.6298
X,0,575,1084.6,742,29.0077,-98.6198
X,0,576,1083.42,743,29.0077,-98.6098
X,0,577,1083.42,744,29.0077,-98.5998
X,0,578,1030.56,745,29.0077,-98.5898
X,0,579,1075.36,747,29.0077,-98.5698
X,0,580,1073.88,748,29.0077,-98.5598
X,0,581,0,749,29.0077,-98.5498
X,0,581,1089.82,749,29.0077,-98.5498
X,0,582,0,750,29.0077,-98.5398
X,0,582,0,750,29.0077,-98.5398
X,0,582,1070.42,750,29.0077,-98.5398
X,0,583,1084.6,751,29.0077,-98.5298
X,0,584,1083.42,752,29.0077,-98.5198
X,0,585,1102.98,753,29.0077,-98.5098
X,0,630,0,799,28.9977,-98.5498
X,0,631,0,800,28.9977,-98.5398
X,0,631,1038.22,800,28.9977,-98.5398
X,0,632,0,801,28.9977,-98.5298
X,0,632,1021.12,801,28.9977,-98.5298
X,0,632,0,801,28.9977,-98.5298
X,0,633,1038.22,802,28.9977,-98.5198
X,0,634,0,803,28.9977,-98.5098
X,0,634,1022.76,803,28.9977,-98.5098
X,0,634,0,803,28.9977,-98.5098
X,0,635,1038.58,804,28.9977,-98.4998
X,0,636,1044.06,805,28.9977,-98.4898
X,0,637,1002.5,807,28.9977,-98.4698
X,0,638,1044.06,808,28.9977,-98.4598
X,0,639,982.48,809,28.9977,-98.4498
X,0,640,0,810,28.9977,-98.4398
X,0,640,967.46,810,28.9977,-98.4398
X,0,640,0,810,28.9977,-98.4398
X,0,641,962.32,811,28.9977,-98.4298
X,0,642,962.32,812,28.9977,-98.4198
X,0,643,993.84,814,28.9977,-98.3998
X,0,644,1006.1,815,28.9977,-98.3898
X,0,645,1036.02,817,28.9977,-98.3698
X,0,646,1092.38,818,28.9977,-98.3598
X,0,647,1032.32,819,28.9977,-98.3498
X,0,648,1032.32,820,28.9977,-98.3398
X,0,649,1032.32,821,28.9977,-98.3298
X,0,650,1145.6,823,28.9977,-98.3098
X,0,651,1032.32,824,28.9977,-98.2998
X,0,701,0,876,28.9877,-98.2898
X,0,701,1032.32,876,28.9877,-98.2898
X,0,715,1014.56,891,28.9777,-98.6598
X,0,716,1028.02,892,28.9777,-98.6498
X,0,717,1014.56,893,28.9777,-98.6398
X,0,718,1001.8,894,28.9777,-98.6298
X,0,719,974.2,895,28.9777,-98.6198
X,0,720,1009.7,896,28.9777,-98.6098
X,0,721,985.72,897,28.9777,-98.5998
X,0,722,0,898,28.9777,-98.5898
X,0,722,985.72,898,28.9777,-98.5898
X,0,723,1020.04,899,28.9777,-98.5798
X,0,724,1095.3,901,28.9777,-98.5598
X,0,724,0,901,28.9777,-98.5598
X,0,725,1021.1,902,28.9777,-98.5498
X,0,726,1022.72,903,28.9777,-98.5398
X,0,731,1043.92,910,28.9777,-98.4598
X,0,774,1022.74,956,28.9677,-98.5198
X,0,776,0,961,28.9677,-98.4698
X,0,776,1043.94,961,28.9677,-98.4698
X,0,777,1079.66,962,28.9677,-98.4598
X,0,779,1002.48,965,28.9677,-98.4298
X,0,780,1014.56,967,28.9677,-98.4098
X,0,780,0,967,28.9677,-98.4098
X,0,780,0,967,28.9677,-98.4098
X,0,781,1006.14,968,28.9677,-98.3998
X,0,782,0,969,28.9677,-98.3898
X,0,783,0,970,28.9677,-98.3798
X,0,783,0,970,28.9677,-98.3798
X,0,783,962.12,970,28.9677,-98.3798
X,0,784,994.36,971,28.9677,-98.3698
X,0,785,1035.92,972,28.9677,-98.3598
X,0,787,1091.04,974,28.9677,-98.3398
X,0,788,1063.62,975,28.9677,-98.3298
X,0,789,1082.34,976,28.9677,-98.3198
X,0,790,1011.18,977,28.9677,-98.3098
X,0,791,1063.62,978,28.9677,-98.2998
X,0,830,1041.2,1027,28.9577,-98.3398
X,0,831,1102.22,1028,28.9577,-98.3298
X,0,832,1082.3,1029,28.9577,-98.3198
X,0,833,1082.3,1030,28.9577,-98.3098
X,0,833,0,1030,28.9577,-98.3098
X,0,834,0,1031,28.9577,-98.2998
X,0,834,0,1031,28.9577,-98.2998
X,0,834,1063.6,1031,28.9577,-98.2998
X,0,835,1078.14,1032,28.9577,-98.2898
X,0,836,1082.3,1033,28.9577,-98.2798
X,0,837,1145.56,1034,28.9577,-98.2698
X,0,850,0,1054,28.9477,-98.6098
X,0,850,1019.98,1054,28.9477,-98.6098
X,0,851,1019.98,1055,28.9477,-98.5998
X,0,853,0,1057,28.9477,-98.5798
X,0,853,0,1057,28.9477,-98.5798
X,0,853,1009.66,1057,28.9477,-98.5798
X,0,854,1009.66,1058,28.9477,-98.5698
X,0,855,974.2,1059,28.9477,-98.5598
X,0,856,974.2,1060,28.9477,-98.5498
X,0,857,985.7,1061,28.9477,-98.5398
X,0,858,1009.66,1062,28.9477,-98.5298
X,0,859,1019.98,1063,28.9477,-98.5198
X,0,860,962.78,1065,28.9477,-98.4998
X,0,861,1016.42,1066,28.9477,-98.4898
X,0,861,0,1066,28.9477,-98.4898
X,0,862,1006.14,1067,28.9477,-98.4798
X,0,863,1006.14,1068,28.9477,-98.4698
X,0,864,1035.52,1069,28.9477,-98.4598
X,0,865,993.66,1070,28.9477,-98.4498
X,0,866,1044.02,1071,28.9477,-98.4398
X,0,867,1044.02,1073,28.9477,-98.4198
X,0,868,1014.08,1074,28.9477,-98.4098
