index,parcels,yield,county
190,319,10.182,ATASCOSA
191,321,10.8064,ATASCOSA
192,322,10.8064,ATASCOSA
193,324,10.57,ATASCOSA
194,325,11.1362,ATASCOSA
195,326,10.9456,ATASCOSA
196,329,10.821,ATASCOSA
197,330,10.5728,ATASCOSA
198,332,10.5728,ATASCOSA
199,333,10.5728,ATASCOSA
200,334,10.5728,ATASCOSA
201,336,10.5728,ATASCOSA
202,337,10.5728,ATASCOSA
203,338,10.8344,ATASCOSA
204,339,10.8344,ATASCOSA
205,340,10.8344,ATASCOSA
206,342,10.8344,ATASCOSA
207,343,10.7402,ATASCOSA
208,344,10.7402,ATASCOSA
209,345,10.7402,ATASCOSA
210,347,10.307,ATASCOSA
211,348,10.8486,ATASCOSA
212,349,10.7402,ATASCOSA
213,350,10.772,ATASCOSA
214,351,10.3118,ATASCOSA
215,352,10.772,ATASCOSA
216,353,10.6952,ATASCOSA
217,355,10.6634,ATASCOSA
218,356,9.91,ATASCOSA
219,357,10.3118,ATASCOSA
220,358,10.3118,ATASCOSA
221,359,10.6952,ATASCOSA
222,360,10.3508,ATASCOSA
223,361,10.8062,ATASCOSA
224,362,10.8062,ATASCOSA
225,363,10.8062,ATASCOSA
226,364,1.8602,ATASCOSA
227,365,1.8602,ATASCOSA
228,366,2.0396,ATASCOSA
229,367,2.0396,ATASCOSA
230,368,10.9456,ATASCOSA
231,369,10.9456,ATASCOSA
232,370,10.9456,ATASCOSA
233,371,10.5726,ATASCOSA
234,372,6.7796,ATASCOSA
235,373,10.5726,ATASCOSA
236,374,10.5726,ATASCOSA
237,375,11.2922,ATASCOSA
238,376,6.7796,ATASCOSA
239,377,10.0324,ATASCOSA
240,378,10.1462,ATASCOSA
241,379,11.5158,ATASCOSA
242,380,10.7402,ATASCOSA
243,381,10.7402,ATASCOSA
244,382,10.7402,ATASCOSA
245,383,10.7402,ATASCOSA
246,384,10.3066,ATASCOSA
247,385,10.7402,ATASCOSA
248,386,10.7402,ATASCOSA
249,387,10.235,ATASCOSA
250,388,10.7402,ATASCOSA
251,389,10.8342,ATASCOSA
252,390,10.3066,ATASCOSA
253,391,10.9798,ATASCOSA
254,392,10.6952,ATASCOSA
255,394,10.3116,ATASCOSA
256,395,10.3116,ATASCOSA
257,396,10.084,ATASCOSA
258,398,10.084,ATASCOSA
259,399,10.3504,ATASCOSA
260,400,10.3504,ATASCOSA
261,401,10.6632,ATASCOSA
262,402,10.3116,ATASCOSA
263,403,1.8758,ATASCOSA
264,404,1.8758,ATASCOSA
265,405,1.8758,ATASCOSA
266,406,1.8758,ATASCOSA
267,408,2.0546,ATASCOSA
268,409,2.0546,ATASCOSA
269,410,10.7092,ATASCOSA
270,411,10.7092,ATASCOSA
271,412,10.648,ATASCOSA
272,413,10.5174,ATASCOSA
273,414,10.5184,ATASCOSA
274,415,10.5728,ATASCOSA
275,416,10.1462,ATASCOSA
276,418,10.5184,ATASCOSA
277,419,10.5184,ATASCOSA
278,420,9.9492,ATASCOSA
279,421,10.7404,ATASCOSA
280,422,10.7404,ATASCOSA
281,423,10.7404,ATASCOSA
282,424,10.7404,ATASCOSA
283,425,10.7404,ATASCOSA
284,426,10.7404,ATASCOSA
285,427,10.7404,ATASCOSA
286,428,10.3064,ATASCOSA
287,429,10.878,ATASCOSA
288,430,10.8344,ATASCOSA
289,432,10.705,ATASCOSA
290,433,10.6952,ATASCOSA
291,434,10.7706,ATASCOSA
292,435,10.6952,ATASCOSA
293,436,10.7706,ATASCOSA
294,437,10.7706,ATASCOSA
295,438,10.3118,ATASCOSA
296,439,10.3118,ATASCOSA
297,440,10.805,ATASCOSA
298,441,10.3118,ATASCOSA
299,442,10.3118,ATASCOSA
300,443,10.3118,ATASCOSA
301,444,10.3118,ATASCOSA
302,445,10.7706,ATASCOSA
303,447,1.8466,ATASCOSA
304,448,1.8758,ATASCOSA
305,449,1.8758,ATASCOSA
306,450,1.1632,ATASCOSA
307,451,2.2928,ATASCOSA
308,452,2.2928,ATASCOSA
309,453,2.0284,ATASCOSA
310,454,10.6478,ATASCOSA
311,456,10.5726,ATASCOSA
312,457,10.3684,ATASCOSA
313,458,10.146,ATASCOSA
314,459,10.6366,ATASCOSA
315,460,10.146,ATASCOSA
316,461,10.146,ATASCOSA
317,462,10.0326,ATASCOSA
318,463,10.5182,ATASCOSA
319,464,10.74,ATASCOSA
320,465,10.3062,ATASCOSA
321,466,10.847,ATASCOSA
322,467,10.74,ATASCOSA
323,468,10.3062,ATASCOSA
324,469,10.878,ATASCOSA
325,470,10.74,ATASCOSA
326,471,10.3062,ATASCOSA
327,472,10.9288,ATASCOSA
328,473,10.74,ATASCOSA
329,474,10.3062,ATASCOSA
330,475,10.8346,ATASCOSA
331,476,10.6952,ATASCOSA
332,477,10.6952,ATASCOSA
333,479,10.7702,ATASCOSA
334,480,10.5592,ATASCOSA
335,481,10.7702,ATASCOSA
336,482,10.788,ATASCOSA
337,483,10.7702,ATASCOSA
338,484,10.7702,ATASCOSA
339,485,10.3118,ATASCOSA
340,486,10.7702,ATASCOSA
341,487,10.1826,ATASCOSA
342,488,10.6952,ATASCOSA
343,490,1.745,ATASCOSA
344,491,1.8758,ATASCOSA
345,492,1.8928,ATASCOSA
346,493,1.7436,ATASCOSA
347,494,2.1042,ATASCOSA
348,495,2.0284,ATASCOSA
349,496,2.0924,ATASCOSA
350,497,2.0924,ATASCOSA
351,498,2.059,ATASCOSA
352,499,10.1666,ATASCOSA
353,500,10.5182,ATASCOSA
354,502,10.146,ATASCOSA
355,503,10.3684,ATASCOSA
356,504,10.146,ATASCOSA
357,505,10.5182,ATASCOSA
358,506,10.146,ATASCOSA
359,507,10.5728,ATASCOSA
360,508,10.7396,ATASCOSA
361,509,10.7396,ATASCOSA
362,510,10.7396,ATASCOSA
363,511,10.7044,ATASCOSA
364,512,10.306,ATASCOSA
365,513,10.878,ATASCOSA
366,514,10.7396,ATASCOSA
367,515,10.7396,ATASCOSA
368,516,10.6426,ATASCOSA
369,517,10.7044,ATASCOSA
370,518,10.7044,ATASCOSA
371,519,10.847,ATASCOSA
372,520,10.3118,ATASCOSA
373,521,8.6348,ATASCOSA
374,522,10.3118,ATASCOSA
375,523,10.3506,ATASCOSA
376,524,10.3506,ATASCOSA
377,525,10.7708,ATASCOSA
378,526,10.6952,ATASCOSA
379,528,10.9794,ATASCOSA
380,529,10.6952,ATASCOSA
381,530,10.3118,ATASCOSA
382,531,10.3118,ATASCOSA
383,532,10.3118,ATASCOSA
384,533,10.9538,ATASCOSA
385,534,10.907,ATASCOSA
386,535,1.745,ATASCOSA
387,536,1.8466,ATASCOSA
388,537,1.8466,ATASCOSA
389,538,1.8466,ATASCOSA
390,539,1.8746,ATASCOSA
391,540,2.2928,ATASCOSA
392,542,2.0284,ATASCOSA
393,543,2.0284,ATASCOSA
394,544,10.647,ATASCOSA
395,545,11.0942,ATASCOSA
396,546,9.9484,ATASCOSA
397,547,10.0322,ATASCOSA
398,548,10.6058,ATASCOSA
399,549,10.457,ATASCOSA
400,550,10.1454,ATASCOSA
401,552,10.5174,ATASCOSA
402,553,10.8344,ATASCOSA
403,554,9.9388,ATASCOSA
404,555,10.7396,ATASCOSA
405,556,10.306,ATASCOSA
406,557,10.306,ATASCOSA
407,558,10.6428,ATASCOSA
408,559,10.7044,ATASCOSA
409,560,10.2968,ATASCOSA
410,561,10.2968,ATASCOSA
411,562,10.2968,ATASCOSA
412,563,10.2968,ATASCOSA
413,564,10.847,ATASCOSA
