VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
X,636,52,,1044.0600,
X,637,36,,1002.5000,
X,638,31,,1044.0600,
X,639,52,,982.4800,
X,640,44,,0.0000,
X,640,45,,967.4600,
X,640,46,,0.0000,
X,641,36,,962.3200,
X,642,31,,962.3200,
X,643,3,,993.8400,
X,644,36,,1006.1000,
X,645,31,,1036.0200,
X,646,31,,1092.3800,
X,647,11,,1032.3200,
X,648,3,,1032.3200,
X,649,3,,1032.3200,
X,650,3,,1145.6000,
X,651,52,,1032.3200,
X,701,44,,0.0000,
X,701,45,,1032.3200,
X,715,31,,1014.5600,
X,716,31,,1028.0200,
X,717,11,,1014.5600,
X,718,3,,1001.8000,
X,719,3,,974.2000,
X,720,3,,1009.7000,
X,721,36,,985.7200,
X,722,36,,0.0000,
X,722,45,,985.7200,
X,723,36,,1020.0400,
X,724,45,,1095.3000,
X,724,52,,0.0000,
X,725,3,,1021.1000,
X,726,3,,1022.7200,
X,731,36,,1043.9200,
X,774,3,,1022.7400,
X,776,44,,0.0000,
X,776,45,,1043.9400,
X,777,36,,1079.6600,
X,779,52,,1002.4800,
X,780,36,,1014.5600,
X,780,43,,0.0000,
X,780,44,,0.0000,
X,781,31,,1006.1400,
X,782,56,,0.0000,
X,783,43,,0.0000,
X,783,44,,0.0000,
X,783,45,,962.1200,
X,784,36,,994.3600,
X,785,31,,1035.9200,
X,787,11,,1091.0400,
X,788,11,,1063.6200,
X,789,3,,1082.3400,
X,790,3,,1011.1800,
X,791,52,,1063.6200,
X,830,36,,1041.2000,
X,831,52,,1102.2200,
X,832,31,,1082.3000,
X,833,3,,1082.3000,
X,833,44,,0.0000,
X,834,43,,0.0000,
X,834,44,,0.0000,
X,834,45,,1063.6000,
X,835,36,,1078.1400,
X,836,52,,1082.3000,
X,837,36,,1145.5600,
X,850,44,,0.0000,
X,850,45,,1019.9800,
X,851,36,,1019.9800,
X,853,3,,0.0000,
X,853,44,,0.0000,
X,853,45,,1009.6600,
X,854,36,,1009.6600,
X,855,36,,974.2000,
X,856,36,,974.2000,
X,857,31,,985.7000,
X,858,11,,1009.6600,
X,859,11,,1019.9800,
X,860,3,,962.7800,
X,861,3,,1016.4200,
X,861,57,,0.0000,
X,862,3,,1006.1400,
X,863,3,,1006.1400,
X,864,3,,1035.5200,
X,865,3,,993.6600,
X,866,11,,1044.0200,
X,867,31,,1044.0200,
X,868,31,,1014.0800,
X,869,36,,1044.0200,
X,870,36,,1014.0800,
X,871,44,,0.0000,
X,871,45,,1053.5400,
X,871,52,,0.0000,
X,872,44,,0.0000,
X,872,45,,1059.9200,
X,872,52,,0.0000,
X,874,52,,1086.9600,
X,875,44,,0.0000,
X,875,45,,1078.2200,
X,876,36,,1081.0600,
X,877,36,,1032.2600,
X,919,44,,0.0000,
X,919,45,,1038.5400,
X,920,36,,1031.5000,
X,921,36,,1035.9000,
X,922,52,,1086.9600,
X,923,36,,1082.6200,
X,924,36,,1078.1600,
X,925,31,,1083.1600,
X,926,31,,1032.2400,
X,927,3,,1026.6400,
X,928,11,,1007.4400,
X,929,3,,1063.6000,
X,930,3,,1032.2400,
X,931,52,,1048.1600,
X,931,56,,0.0000,
X,1001,52,,946.6000,
X,1002,52,,946.6000,
X,1002,56,,0.0000,
X,1003,52,,1009.6400,
X,1003,56,,0.0000,
X,1004,3,,1009.6400,
X,1005,3,,1098.3600,
X,1006,3,,1099.5400,
X,1008,31,,932.4200,
X,1009,31,,1009.6400,
X,1010,36,,1030.4800,
X,1011,36,,0.0000,
X,1011,44,,0.0000,
X,1011,45,,962.7400,
X,1012,44,,0.0000,
X,1012,45,,1055.0000,
X,1012,50,,0.0000,
X,1013,52,,1055.6800,
X,1014,44,,0.0000,
X,1014,45,,1008.9000,
X,1014,46,,0.0000,
X,1015,36,,1055.0000,
X,1016,36,,1055.0000,
X,1017,31,,1032.3600,
X,1054,31,,946.6000,
X,1056,36,,946.6000,
X,1057,31,,1009.6000,
X,1059,36,,0.0000,
X,1059,44,,0.0000,
X,1059,45,,1035.1800,
X,1060,36,,1009.6000,
X,1062,3,,1009.6000,
X,1063,36,,1055.0000,
X,1064,31,,1008.9000,
X,1065,31,,1055.0000,
X,1067,11,,1055.6800,
X,1068,3,,1008.9000,
X,1069,52,,1032.3400,
X,1070,52,,1032.3400,
X,1071,52,,1045.6400,
X,1072,52,,1055.0000,
X,1073,56,,0.0000,
X,1074,3,,1001.6600,
X,1075,3,,1041.9800,
X,1076,3,,1078.8400,
X,1077,11,,1092.8000,
X,1079,31,,1078.1800,
X,1080,31,,1063.6600,
X,1081,45,,1078.1800,
X,1082,36,,0.0000,
X,1082,44,,0.0000,
X,1082,45,,1093.3400,
X,1083,45,,1087.5000,
X,1084,36,,1063.6600,
X,1129,36,,1096.1800,
X,1131,52,,1080.2400,
X,1132,52,,1154.4000,
X,1133,31,,0.0000,
X,1133,44,,0.0000,
