var, orig, dest, value,
3,1547,7,1050.20,
3,1548,36,1076.00,
3,1549,45,1006.70,
3,1551,7,990.90,
3,1553,36,1006.70,
3,1554,45,1006.70,
3,1557,7,1116.00,
3,1560,36,750.50,
3,1561,45,989.60,
3,1563,45,994.80,
3,1564,45,1069.50,
3,1616,7,1077.10,
3,1621,36,1050.20,
3,1622,45,1159.20,
3,1624,7,990.80,
3,1625,7,1050.50,
3,1626,36,1102.80,
3,1627,45,1080.20,
3,1629,7,750.50,
3,1631,45,994.80,
3,1632,45,1000.50,
3,1633,7,1159.20,
3,1634,7,1000.50,
3,1635,36,893.40,
3,1636,45,1000.50,
3,1638,7,1000.50,
3,1644,36,1107.00,
3,1645,36,1114.00,
3,1701,7,1069.40,
3,1703,36,994.60,
3,1704,45,893.40,
3,1708,36,755.40,
3,1709,45,752.40,
3,1711,7,1098.90,
3,1866,7,1061.20,
3,1877,36,1004.10,
3,1878,45,1061.20,
3,1879,45,1004.10,
3,1882,7,1058.20,
3,1946,45,1004.10,
3,1949,7,1058.00,
3,1951,45,1110.80,
3,1952,45,1004.10,
3,1953,7,1077.00,
3,1955,36,1057.70,
3,1956,45,750.50,
3,1958,7,758.80,
3,1962,45,1000.50,
3,2033,45,1159.20,
3,2038,45,802.00,
3,2044,36,1159.20,
3,2045,36,735.70,
3,2047,36,737.30,
3,2106,45,1064.90,
3,2110,36,1098.90,
3,2111,45,1098.90,
3,2113,7,1061.20,
3,2115,36,1057.70,
3,2118,7,1099.60,
3,2119,36,1036.10,
3,2120,36,1047.90,
3,2121,45,1053.00,
3,2122,7,1036.10,
3,2123,7,1055.90,
3,2124,7,1057.70,
3,2185,7,1107.00,
3,2188,45,1061.20,
3,2190,7,1138.80,
3,2192,36,1036.10,
3,2193,45,1138.80,
3,2195,7,1057.70,
3,2196,36,1057.70,
3,2197,45,1057.70,
3,2200,7,1057.70,
3,2202,36,1027.80,
3,2203,45,1057.70,
3,2204,45,1061.20,
3,2205,45,1115.00,
3,2278,36,1067.20,
3,2281,7,1036.10,
3,2284,36,1036.10,
3,2285,36,1036.10,
3,2286,45,1027.80,
3,2287,45,1057.70,
3,2288,45,1057.70,
3,2289,45,1036.10,
3,2290,7,1083.90,
3,2352,36,1036.10,
3,2356,36,1057.70,
3,2359,7,1057.70,
3,2361,36,1036.10,
3,2362,45,1036.10,
3,2365,7,1070.60,
3,2464,45,1042.90,
3,2470,36,1149.00,
3,2481,36,1053.00,
3,2482,45,1053.00,
3,2483,45,1036.10,
3,2484,36,1061.20,
3,2485,36,1061.20,
3,2486,36,1061.20,
3,2487,36,1061.20,
3,2488,36,1092.50,
3,2489,36,1092.50,
3,2490,36,1099.60,
3,2491,45,1047.90,
3,2492,45,1055.80,
3,2494,36,1083.90,
3,2495,7,1083.90,
3,2548,45,1055.80,
3,2550,45,1036.10,
3,2555,45,1057.60,
3,2562,7,1083.90,
3,2563,45,1036.10,
3,2564,36,1036.10,
3,2566,7,1073.60,
3,2567,7,1159.20,
3,2568,45,987.60,
3,2569,7,987.60,
3,2570,7,987.60,
3,2571,7,987.60,
3,2641,45,1048.90,
3,2642,45,1044.20,
3,2644,7,1053.40,
3,2645,7,1012.20,
3,2646,45,1036.10,
3,2647,45,1057.60,
3,2648,36,1061.20,
3,2649,36,1061.20,
3,2650,36,1061.20,
3,2651,45,1061.20,
3,2652,45,1061.20,
3,2653,45,1092.50,
3,2654,45,1149.00,
3,2655,45,1114.00,
3,2656,45,1092.50,
3,2706,45,1061.20,
3,2707,45,1061.20,
3,2708,45,1061.20,
3,2709,45,1057.60,
3,2710,45,1099.00,
3,2715,7,1061.20,
3,2723,36,1057.60,
3,2724,7,1016.40,
3,2725,45,1016.40,
3,2726,36,1016.40,
3,2727,36,1027.80,
