VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,1002,52,,946.6
X,1002,56,,0
X,1003,52,,1009.64
X,1003,56,,0
X,1004,3,,1009.64
X,1005,3,,1098.36
X,1006,3,,1099.54
X,1008,31,,932.42
X,1009,31,,1009.64
X,1010,36,,1030.48
X,1011,36,,0
X,1011,44,,0
X,1011,45,,962.74
X,1012,44,,0
X,1012,45,,1055
X,1012,50,,0
X,1013,52,,1055.68
X,1014,44,,0
X,1014,45,,1008.9
X,1014,46,,0
X,1015,36,,1055
X,1016,36,,1055
X,1017,31,,1032.36
X,1054,31,,946.6
X,1056,36,,946.6
X,1057,31,,1009.6
X,1059,36,,0
X,1059,44,,0
X,1059,45,,1035.18
X,1060,36,,1009.6
X,1062,3,,1009.6
X,1063,36,,1055
X,1064,31,,1008.9
X,1065,31,,1055
X,1067,11,,1055.68
X,1068,3,,1008.9
X,1069,52,,1032.34
X,1070,52,,1032.34
X,1071,52,,1045.64
X,1072,52,,1055
X,1073,56,,0
X,1074,3,,1001.66
X,1075,3,,1041.98
X,1076,3,,1078.84
X,1077,11,,1092.8
X,1079,31,,1078.18
X,1080,31,,1063.66
X,1081,45,,1078.18
X,1082,36,,0
X,1082,44,,0
X,1082,45,,1093.34
X,1083,45,,1087.5
X,1084,36,,1063.66
X,1129,36,,1096.18
X,1131,52,,1080.24
X,1132,52,,1154.4
X,1133,31,,0
X,1133,44,,0
X,1133,45,,1063.64
X,1134,36,,1083.3
X,1135,31,,1078.14
X,1136,3,,991.92
X,1138,52,,1087.5
X,1138,58,,0
X,1139,3,,1041.2
X,1140,52,,1059.02
X,1141,45,,1111.88
X,1141,52,,0
X,1142,52,,1170.54
X,1143,52,,1081.96
X,1144,3,,1065.2
X,1184,45,,1080.16
X,1185,36,,1084.76
X,1186,36,,1081.42
X,1187,11,,1084.44
X,1217,3,,946.56
X,1218,11,,1009.52
X,1221,31,,946.56
X,1222,36,,979.3
X,1223,36,,1009.52
X,1224,31,,993.26
X,1225,36,,1125.68
X,1272,36,,980.56
X,1273,36,,953.42
X,1274,36,,953.42
X,1278,3,,1040.82
X,1279,3,,1030.52
X,1280,52,,1038.22
X,1281,52,,1006.16
X,1282,52,,1056.96
X,1283,3,,1056.96
X,1283,56,,0
X,1284,3,,1004.48
X,1285,3,,1056.96
X,1286,11,,1006.16
X,1288,31,,1027.32
X,1289,31,,1041.58
X,1290,36,,1127.44
X,1291,44,,0
X,1291,45,,1067.32
X,1292,43,,0
X,1292,44,,0
X,1292,45,,1158.34
X,1293,43,,0
X,1293,44,,0
X,1293,45,,1046.76
X,1294,36,,1128.68
X,1295,36,,1128.68
X,1296,31,,1127.12
X,1297,31,,1127.12
X,1300,44,,0
X,1300,45,,1064.84
X,1341,45,,995.42
X,1342,31,,1038.2
X,1343,31,,1056.96
X,1346,3,,1027.28
X,1347,52,,1127.5
X,1348,43,,0
X,1348,44,,0
X,1348,45,,1127.5
X,1349,44,,0
X,1349,45,,1127.5
X,1349,50,,0
X,1350,44,,0
X,1350,45,,1079.66
X,1350,52,,0
X,1351,45,,1019.48
X,1351,46,,0
X,1352,52,,1039.02
X,1353,52,,1039.02
X,1354,52,,1111.54
X,1355,3,,1039.02
X,1356,3,,1139.8
X,1357,31,,1197.54
X,1358,36,,1250.38
X,1359,31,,1109.06
X,1360,36,,1152.72
X,1361,36,,1122.66
X,1362,36,,0
X,1362,44,,0
X,1362,45,,1109.06
X,1363,36,,1071.88
X,1364,31,,1071.88
X,1365,31,,647.4
X,1411,45,,1066.42
X,1412,36,,1039.02
X,1417,3,,1152.72
X,1419,43,,0
X,1419,44,,0
X,1419,45,,1152.72
X,1420,43,,0
X,1420,44,,0
X,1420,45,,1141
X,1421,44,,0
X,1422,52,,1109.06
X,1425,3,,743.22
X,1572,36,,953.36
X,1573,31,,1001.62
X,1577,3,,1121.16
X,1637,3,,1001.6
X,1638,11,,1008.52
