VARIABLE,INDEX, DEPOT, VALUE,LON,LAT
X,3764,31,1210.24,-98.1101,29.0674
X,3765,44,1231.12,-98.0901,29.0674
X,3766,36,1241.32,-98.0801,29.0674
X,3767,36,1210.94,-98.0701,29.0674
X,3768,36,1235.72,-98.0601,29.0674
X,3778,44,1218.36,-97.9401,29.0674
X,3779,36,1212.38,-98.3501,29.0574
X,3781,52,1254.26,-98.3201,29.0574
X,3782,44,1221.92,-98.3101,29.0574
X,3783,36,1299.48,-98.3001,29.0574
X,3785,44,1301.16,-98.2801,29.0574
X,3786,36,1265.08,-98.2701,29.0574
X,3787,31,1307.06,-98.2601,29.0574
X,3832,31,1261.3,-98.1701,29.0474
X,3833,52,1164.52,-98.1501,29.0474
X,3834,31,1318.48,-98.1401,29.0474
X,3835,44,1164.52,-98.1301,29.0474
X,3836,44,1201.5,-98.1101,29.0474
X,3837,36,1206.42,-98.1001,29.0474
X,3838,31,1151.42,-98.0901,29.0474
X,3839,31,1226.6,-98.0801,29.0474
X,3854,52,1233.28,-98.2501,29.0374
X,3855,36,1271.66,-98.2401,29.0374
X,3856,31,1233.28,-98.2301,29.0374
X,3860,52,1226.46,-98.1801,29.0374
X,3861,52,1254.22,-98.1701,29.0374
X,3901,44,1251.3,-98.0301,29.0274
X,3902,36,1217.22,-98.0201,29.0274
X,3903,44,1232.06,-98.0101,29.0274
X,3904,31,1251.3,-98.0001,29.0274
X,3905,36,1206.38,-98.3101,29.0174
X,3906,36,1206.38,-98.3001,29.0174
X,3907,36,1159.18,-98.2901,29.0174
X,3908,44,1221.08,-98.2801,29.0174
X,3909,36,1235.7,-98.2701,29.0174
X,3971,31,1226.54,-98.1701,28.9974
X,3972,52,1210.84,-98.1601,28.9974
X,3973,36,1206.5,-98.1501,28.9974
X,3974,52,1213.62,-98.1401,28.9974
X,3975,31,1210.84,-98.1301,28.9974
X,3976,31,1210.84,-98.1201,28.9974
X,3977,31,1248.5,-98.1101,28.9974
X,3978,36,1194.32,-98.0901,28.9974
X,3979,31,1213.62,-98.0801,28.9974
X,4039,44,1211.68,-98.1501,28.9674
X,4040,36,1226.66,-98.1401,28.9674
X,4041,31,1267.18,-98.1301,28.9674
X,4042,52,1267.18,-98.1201,28.9674
X,4043,31,1205.26,-98.1101,28.9674
X,4044,52,1222.74,-98.1001,28.9674
X,4045,36,1282.74,-98.0901,28.9674
X,4046,31,1160.96,-98.0801,28.9674
X,4047,52,1195.74,-98.2601,28.9574
X,4048,36,1180.72,-98.2501,28.9574
X,4049,52,1167.46,-98.2401,28.9574
X,4062,44,1345.52,-98.0901,28.9574
X,4063,36,1226.66,-98.2501,28.9474
X,4065,52,1294.8,-98.2301,28.9474
X,4066,44,1144.6,-98.2201,28.9474
X,4067,44,1180.68,-98.2101,28.9474
X,4068,36,1195.78,-98.2001,28.9474
X,4069,31,1180.72,-98.1901,28.9474
X,4117,44,1185.52,-98.1801,28.8974
X,4118,31,1215.24,-98.1701,28.8974
Z,2648,0,1442.62,-98.1901,29.3274
Z,2666,0,1296.78,-98.2301,29.3174
Z,2667,0,1423.78,-98.2201,29.3174
Z,2668,0,1442.62,-98.2101,29.3174
Z,2669,0,1442.62,-98.2001,29.3174
Z,2693,0,1423.78,-98.2401,29.3074
Z,2694,0,1423.78,-98.2301,29.3074
Z,2695,0,1442.64,-98.2201,29.3074
Z,2696,0,1442.64,-98.1901,29.3074
Z,2723,0,1296.8,-98.2501,29.2974
Z,2724,0,1423.78,-98.2401,29.2974
Z,2725,0,1442.62,-98.2301,29.2974
Z,2726,0,1442.62,-98.2101,29.2974
Z,2727,0,1442.62,-98.2001,29.2974
Z,2728,0,1442.62,-98.1901,29.2974
Z,2753,0,1363.7,-98.2601,29.2874
Z,2754,0,1442.6,-98.1801,29.2874
Z,2786,0,1363.7,-98.2701,29.2774
Z,2789,0,1442.62,-98.1801,29.2774
Z,2790,0,1442.62,-98.1701,29.2774
Z,2822,0,1423.74,-98.2701,29.2674
Z,2823,0,1423.74,-98.2601,29.2674
Z,2824,0,1423.74,-98.2501,29.2674
Z,2825,0,1423.74,-98.2401,29.2674
Z,2827,0,1442.62,-98.1901,29.2674
Z,2828,0,1442.62,-98.1801,29.2674
Z,2829,0,1442.62,-98.1701,29.2674
Z,2830,0,1442.62,-98.1601,29.2674
Z,2864,0,1363.68,-98.2801,29.2574
Z,2865,0,1363.68,-98.2701,29.2574
Z,2866,0,1423.74,-98.2601,29.2574
Z,2867,0,1423.74,-98.2301,29.2574
Z,2868,0,1442.6,-98.2201,29.2574
Z,2869,0,1442.6,-98.1901,29.2574
Z,2904,0,1290.16,-98.2901,29.2474
Z,2905,0,1290.16,-98.2801,29.2474
Z,2906,0,1423.76,-98.2401,29.2474
Z,2907,0,1442.62,-98.2001,29.2474
Z,2944,0,1266.92,-98.3001,29.2374
Z,2945,0,1399.56,-98.2901,29.2374
Z,2946,0,1369.02,-98.2801,29.2374
Z,2947,0,1347.18,-98.2701,29.2374
Z,2948,0,1347.18,-98.2501,29.2374
Z,2949,0,1421.32,-98.2401,29.2374
Z,2950,0,1421.32,-98.2301,29.2374
Z,2951,0,1433.36,-98.2101,29.2374
Z,2952,0,1433.36,-98.2001,29.2374
Z,2953,0,1433.36,-98.1901,29.2374
Z,2954,0,1433.36,-98.1701,29.2374
Z,2995,0,1336.64,-98.2901,29.2274
Z,2996,0,1335.72,-98.2801,29.2274
Z,2997,0,1347.18,-98.2701,29.2274
Z,2998,0,1310.68,-98.2601,29.2274
Z,2999,0,1421.3,-98.2401,29.2274
Z,3000,0,1433.34,-98.2201,29.2274
Z,3001,0,1433.34,-98.2101,29.2274
Z,3002,0,1433.34,-98.1901,29.2274
Z,3038,0,1320.3,-98.3201,29.2174
Z,3039,0,1284.76,-98.3101,29.2174
Z,3041,0,1310.68,-98.2601,29.2174
Z,3042,0,1421.32,-98.2501,29.2174
Z,3043,0,1421.32,-98.2401,29.2174
Z,3044,0,1421.32,-98.2301,29.2174
Z,3045,0,1421.32,-98.2201,29.2174
Z,3046,0,1421.32,-98.2101,29.2174
Z,3047,0,1433.32,-98.1901,29.2174
Z,3087,0,1364.88,-98.2901,29.2074
Z,3088,0,1252.48,-98.2401,29.2074
Z,3089,0,1252.48,-98.2301,29.2074
Z,3090,0,1336.64,-98.2201,29.2074
Z,3091,0,1421.3,-98.2101,29.2074
Z,3092,0,1421.3,-98.2001,29.2074
Z,3131,0,1309.92,-98.3301,29.1974
Z,3135,0,1386.08,-98.2801,29.1974
Z,3138,0,1320.26,-98.2201,29.1974
Z,3139,0,1320.26,-98.2101,29.1974
Z,3140,0,1421.3,-98.2001,29.1974
Z,3141,0,1421.3,-98.1801,29.1974
Z,3178,0,1309.9,-98.3401,29.1874
Z,3181,0,1300.4,-98.3001,29.1874
Z,3182,0,1300.4,-98.2901,29.1874
Z,3183,0,1300.4,-98.2801,29.1874
Z,3184,0,1232.9,-98.2701,29.1874
Z,3185,0,1295.12,-98.2501,29.1874
Z,3186,0,1295.12,-98.2301,29.1874
Z,3187,0,1407.12,-98.2101,29.1874
Z,3188,0,1407.12,-98.2001,29.1874
Z,3189,0,1421.28,-98.1901,29.1874
Z,3228,0,1369.24,-98.3501,29.1774
Z,3234,0,1278,-98.2901,29.1774
Z,3236,0,1246.16,-98.2701,29.1774
Z,3237,0,1284.58,-98.2601,29.1774
Z,3240,0,1329.24,-98.2301,29.1774
Z,3241,0,1320.26,-98.2201,29.1774
Z,3242,0,1284.72,-98.2001,29.1774
Z,3243,0,1421.28,-98.1901,29.1774
Z,3244,0,1421.28,-98.1801,29.1774
Z,3295,0,1407.1,-98.2001,29.1674
