VARIABLE,INDEX, DEPOT, VALUE,LON,LAT
X,573,52,1166.1,-98.6398,29.0077
X,574,36,1140.4,-98.6298,29.0077
X,575,31,1219.8,-98.6198,29.0077
X,576,31,1209.82,-98.6098,29.0077
X,577,31,1209.82,-98.5998,29.0077
X,579,52,1199.04,-98.5698,29.0077
X,580,52,1201,-98.5598,29.0077
X,581,44,1223.16,-98.5498,29.0077
X,582,44,1194.34,-98.5398,29.0077
X,584,52,1209.82,-98.5198,29.0077
X,631,44,1159.26,-98.5398,28.9977
X,632,44,1139.88,-98.5298,28.9977
X,633,31,1159.26,-98.5198,28.9977
X,634,44,1145.18,-98.5098,28.9977
X,635,31,1164.02,-98.4998,28.9977
X,636,52,1182.3,-98.4898,28.9977
X,637,36,1133.76,-98.4698,28.9977
X,638,31,1182.3,-98.4598,28.9977
X,639,52,1120.4,-98.4498,28.9977
X,640,44,1121.98,-98.4398,28.9977
X,641,36,1122.68,-98.4298,28.9977
X,642,31,1122.68,-98.4198,28.9977
X,643,52,1147.7,-98.3998,28.9977
X,644,36,1143.76,-98.3898,28.9977
X,645,31,1177.36,-98.3698,28.9977
X,646,31,1227.18,-98.3598,28.9977
X,647,31,1173.92,-98.3498,28.9977
X,648,52,1173.92,-98.3398,28.9977
X,649,52,1173.92,-98.3298,28.9977
X,650,52,1271.92,-98.3098,28.9977
X,651,52,1173.92,-98.2998,28.9977
X,715,31,1096.22,-98.6598,28.9777
X,716,31,1101.88,-98.6498,28.9777
X,717,52,1096.22,-98.6398,28.9777
X,718,52,1105.62,-98.6298,28.9777
X,719,52,1124.22,-98.6198,28.9777
X,720,52,1130.98,-98.6098,28.9777
X,721,44,1111.96,-98.5998,28.9777
X,722,36,1111.96,-98.5898,28.9777
X,723,44,1139.94,-98.5798,28.9777
X,724,52,1181.4,-98.5598,28.9777
X,774,44,1145.18,-98.5198,28.9677
X,776,52,1182.32,-98.4698,28.9677
X,777,36,1210.6,-98.4598,28.9677
X,779,52,1133.76,-98.4298,28.9677
X,780,44,1160.62,-98.4098,28.9677
X,781,31,1143.76,-98.3998,28.9677
X,782,52,1136.86,-98.3898,28.9677
X,783,44,1122.68,-98.3798,28.9677
X,784,36,1152.16,-98.3698,28.9677
X,785,31,1176.94,-98.3598,28.9677
X,790,52,1173.06,-98.3098,28.9677
X,791,52,1185.72,-98.2998,28.9677
X,830,36,1180.3,-98.3398,28.9577
X,831,52,1239.26,-98.3298,28.9577
X,832,31,1197.76,-98.3198,28.9577
X,833,44,1197.76,-98.3098,28.9577
X,834,44,1185.72,-98.2998,28.9577
X,835,36,1219.38,-98.2898,28.9577
X,836,52,1197.76,-98.2798,28.9577
X,837,36,1272,-98.2698,28.9577
X,850,44,1139.92,-98.6098,28.9477
X,851,36,1139.92,-98.5998,28.9477
X,853,44,1131,-98.5798,28.9477
X,854,36,1131,-98.5698,28.9477
X,855,31,1124.12,-98.5598,28.9477
X,856,36,1124.12,-98.5498,28.9477
X,857,31,1111.92,-98.5398,28.9477
X,867,31,1182.3,-98.4198,28.9477
X,868,31,1127.28,-98.4098,28.9477
X,869,31,1182.3,-98.3998,28.9477
X,870,36,1127.28,-98.3898,28.9477
X,871,44,1190.24,-98.3798,28.9477
X,872,44,1204.42,-98.3698,28.9477
X,874,52,1202.76,-98.3498,28.9477
X,875,44,1219.44,-98.3298,28.9477
X,876,36,1214.3,-98.3198,28.9477
X,877,36,1173.86,-98.3098,28.9477
X,920,36,1171.86,-98.3698,28.9377
X,921,36,1176.84,-98.3598,28.9377
X,922,52,1202.72,-98.3498,28.9377
X,923,36,1222.98,-98.3398,28.9377
X,924,36,1219.34,-98.3298,28.9377
X,925,31,1207.06,-98.3198,28.9377
X,926,31,1173.96,-98.2998,28.9377
X,928,52,1150.76,-98.2798,28.9377
X,929,52,1185.7,-98.2698,28.9377
X,930,52,1173.96,-98.2598,28.9377
X,931,52,1207.44,-98.2498,28.9377
X,1001,52,1097.08,-98.6198,28.9177
X,1002,52,1097.08,-98.6098,28.9177
X,1003,52,1131.02,-98.5998,28.9177
X,1008,31,1093.84,-98.5298,28.9177
X,1009,31,1131.02,-98.5198,28.9177
X,1010,36,1162.44,-98.5098,28.9177
X,1011,44,1120.7,-98.4998,28.9177
X,1012,44,1170.42,-98.4898,28.9177
X,1013,52,1193.12,-98.4798,28.9177
X,1014,44,1146.48,-98.4698,28.9177
X,1015,36,1170.42,-98.4598,28.9177
X,1016,36,1170.42,-98.4498,28.9177
X,1017,31,1178.56,-98.4298,28.9177
X,1056,36,1097.06,-98.5898,28.9077
X,1059,44,1150.96,-98.5398,28.9077
X,1060,36,1131.02,-98.5298,28.9077
X,1062,52,1131.02,-98.5098,28.9077
X,1063,36,1170.4,-98.4998,28.9077
X,1064,31,1146.44,-98.4898,28.9077
X,1065,31,1170.4,-98.4798,28.9077
X,1067,52,1193.14,-98.4498,28.9077
X,1068,52,1146.44,-98.4398,28.9077
X,1069,52,1178.6,-98.4298,28.9077
X,1070,52,1178.6,-98.4198,28.9077
X,1071,52,1165.88,-98.4098,28.9077
X,1072,52,1170.4,-98.3998,28.9077
X,1073,52,1165.88,-98.3898,28.9077
X,1074,52,1133.94,-98.3798,28.9077
X,1079,31,1219.3,-98.3298,28.9077
X,1080,31,1185.66,-98.3098,28.9077
X,1081,44,1219.3,-98.2998,28.9077
X,1082,44,1200.58,-98.2898,28.9077
X,1129,36,1231.1,-98.3698,28.8977
X,1131,52,1213.36,-98.3498,28.8977
X,1132,52,1278.76,-98.3398,28.8977
X,1133,44,1185.58,-98.3298,28.8977
X,1134,36,1207.06,-98.3198,28.8977
X,1135,31,1219.3,-98.3098,28.8977
