VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,781,31,1143.76,-98.3998,28.9677
X,783,45,1122.68,-98.3798,28.9677
X,784,36,1152.16,-98.3698,28.9677
X,785,31,1176.94,-98.3598,28.9677
X,787,11,1210.96,-98.3398,28.9677
X,788,11,1185.72,-98.3298,28.9677
X,789,3,1197.76,-98.3198,28.9677
X,790,3,1173.06,-98.3098,28.9677
X,830,36,1180.3,-98.3398,28.9577
X,832,31,1197.76,-98.3198,28.9577
X,833,3,1197.76,-98.3098,28.9577
X,834,45,1185.72,-98.2998,28.9577
X,835,36,1219.38,-98.2898,28.9577
X,836,52,1197.76,-98.2798,28.9577
X,837,36,1272,-98.2698,28.9577
X,850,45,1139.92,-98.6098,28.9477
X,851,36,1139.92,-98.5998,28.9477
X,853,45,1131,-98.5798,28.9477
X,854,36,1131,-98.5698,28.9477
X,855,36,1124.12,-98.5598,28.9477
X,856,36,1124.12,-98.5498,28.9477
X,857,31,1111.92,-98.5398,28.9477
X,858,11,1131,-98.5298,28.9477
X,859,11,1139.92,-98.5198,28.9477
X,860,3,1120.7,-98.4998,28.9477
X,861,3,1163.04,-98.4898,28.9477
X,862,3,1143.62,-98.4798,28.9477
X,863,3,1143.62,-98.4698,28.9477
X,864,3,1159.46,-98.4598,28.9477
X,865,3,1147.84,-98.4498,28.9477
X,866,11,1182.3,-98.4398,28.9477
X,867,31,1182.3,-98.4198,28.9477
X,868,31,1127.28,-98.4098,28.9477
X,869,36,1182.3,-98.3998,28.9477
X,870,36,1127.28,-98.3898,28.9477
X,871,45,1190.24,-98.3798,28.9477
X,872,45,1204.42,-98.3698,28.9477
X,874,52,1202.76,-98.3498,28.9477
X,875,45,1219.44,-98.3298,28.9477
X,876,36,1214.3,-98.3198,28.9477
X,877,36,1173.86,-98.3098,28.9477
X,919,45,1163.88,-98.3798,28.9377
X,920,36,1171.86,-98.3698,28.9377
X,921,36,1176.84,-98.3598,28.9377
X,922,52,1202.72,-98.3498,28.9377
X,923,36,1222.98,-98.3398,28.9377
X,924,36,1219.34,-98.3298,28.9377
X,925,31,1207.06,-98.3198,28.9377
X,926,31,1173.96,-98.2998,28.9377
X,927,3,1166.76,-98.2898,28.9377
X,928,11,1150.76,-98.2798,28.9377
X,929,3,1185.7,-98.2698,28.9377
X,930,3,1173.96,-98.2598,28.9377
X,931,52,1207.44,-98.2498,28.9377
X,1001,52,1097.08,-98.6198,28.9177
X,1002,52,1097.08,-98.6098,28.9177
X,1003,52,1131.02,-98.5998,28.9177
X,1004,3,1131.02,-98.5898,28.9177
X,1005,3,1183.42,-98.5798,28.9177
X,1006,3,1190.74,-98.5698,28.9177
X,1008,31,1093.84,-98.5298,28.9177
X,1009,31,1131.02,-98.5198,28.9177
X,1010,36,1162.44,-98.5098,28.9177
X,1011,45,1120.7,-98.4998,28.9177
X,1012,45,1170.42,-98.4898,28.9177
X,1013,45,1193.12,-98.4798,28.9177
X,1014,45,1146.48,-98.4698,28.9177
X,1015,36,1170.42,-98.4598,28.9177
X,1016,36,1170.42,-98.4498,28.9177
X,1017,31,1178.56,-98.4298,28.9177
X,1054,31,1097.06,-98.6098,28.9077
X,1056,36,1097.06,-98.5898,28.9077
X,1057,31,1131.02,-98.5798,28.9077
X,1059,45,1150.96,-98.5398,28.9077
X,1060,36,1131.02,-98.5298,28.9077
X,1062,3,1131.02,-98.5098,28.9077
X,1063,36,1170.4,-98.4998,28.9077
X,1064,31,1146.44,-98.4898,28.9077
X,1065,31,1170.4,-98.4798,28.9077
X,1067,11,1193.14,-98.4498,28.9077
X,1068,3,1146.44,-98.4398,28.9077
X,1069,52,1178.6,-98.4298,28.9077
X,1070,52,1178.6,-98.4198,28.9077
X,1071,52,1165.88,-98.4098,28.9077
X,1072,52,1170.4,-98.3998,28.9077
X,1073,45,1165.88,-98.3898,28.9077
X,1074,3,1133.94,-98.3798,28.9077
X,1075,3,1158.84,-98.3698,28.9077
X,1076,3,1211.42,-98.3598,28.9077
X,1079,31,1219.3,-98.3298,28.9077
X,1080,31,1185.66,-98.3098,28.9077
X,1081,45,1219.3,-98.2998,28.9077
X,1082,45,1200.58,-98.2898,28.9077
X,1129,36,1231.1,-98.3698,28.8977
X,1132,52,1278.76,-98.3398,28.8977
X,1133,45,1185.58,-98.3298,28.8977
X,1134,36,1207.06,-98.3198,28.8977
X,1135,31,1219.3,-98.3098,28.8977
X,1136,3,1161.98,-98.2998,28.8977
X,1138,52,1199.34,-98.2698,28.8977
