VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
TC,,,, 3.522505469786804e7,
D,,31,,1,
D,,36,,1,
D,,52,,1,
X,1,31,,823.0400,
X,2,31,,1164.5200,
X,71,36,,1219.3000,
X,72,36,,1219.3000,
X,73,36,,1170.7400,
X,74,52,,1232.0800,
X,75,31,,1280.6200,
X,76,52,,1269.2200,
X,77,36,,1269.2200,
X,213,52,,1208.4800,
X,214,31,,1169.8400,
X,215,36,,1208.4800,
X,216,31,,1205.1800,
X,217,52,,1189.6800,
X,218,31,,1153.3600,
X,220,52,,1169.8400,
X,221,31,,1205.1800,
X,222,31,,1176.8200,
X,225,31,,1215.5400,
X,280,36,,1201.0800,
X,281,36,,1201.0800,
X,282,36,,1201.0800,
X,283,36,,1201.0800,
X,284,52,,1201.0800,
X,285,36,,1201.0800,
X,286,52,,1175.5200,
X,286,58,,0.0000,
X,287,36,,1207.7000,
X,288,31,,1209.9200,
X,289,52,,1194.3400,
X,290,36,,1205.1800,
X,291,36,,1208.4800,
X,292,36,,1205.1800,
X,293,52,,1208.4800,
X,294,36,,1208.4800,
X,295,31,,1169.8000,
X,352,36,,1156.9000,
X,353,36,,1162.9400,
X,354,52,,1140.4200,
X,355,36,,1178.7600,
X,356,52,,1140.4200,
X,357,36,,1162.9400,
X,358,31,,1140.4200,
X,359,52,,1182.7200,
X,360,36,,1201.0200,
X,361,36,,1201.0200,
X,362,31,,1201.0200,
X,363,52,,1194.3200,
X,364,31,,1175.5200,
X,365,31,,1207.8000,
X,422,31,,1169.7600,
X,423,31,,1169.7600,
X,424,52,,1205.2200,
X,425,31,,1224.2000,
X,426,52,,1221.1200,
X,427,36,,1211.0200,
X,480,31,,1217.9600,
X,484,36,,1182.7000,
X,485,36,,1182.7000,
X,492,31,,1194.2800,
X,494,52,,1219.8200,
X,495,36,,1200.9800,
X,496,31,,1175.5400,
X,497,52,,1169.7600,
X,498,36,,1208.3800,
X,500,52,,1208.3800,
X,501,36,,1205.1400,
X,502,31,,1208.3800,
X,504,52,,1250.7000,
X,505,36,,1187.5000,
X,506,31,,1203.0800,
X,507,31,,1204.2400,
X,512,52,,1184.8400,
X,569,52,,1140.0800,
X,570,36,,1159.0000,
X,571,36,,1189.3000,
X,572,31,,1189.3000,
X,573,52,,1166.1000,
X,574,36,,1140.4000,
X,575,31,,1219.8000,
X,576,31,,1209.8200,
X,577,31,,1209.8200,
X,579,52,,1199.0400,
X,580,52,,1201.0000,
X,583,52,,1219.8000,
X,584,52,,1209.8200,
X,585,52,,1249.3200,
X,632,52,,1139.8800,
X,633,31,,1159.2600,
X,634,52,,1145.1800,
X,635,31,,1164.0200,
X,636,52,,1182.3000,
X,637,36,,1133.7600,
X,638,31,,1182.3000,
X,639,52,,1120.4000,
X,640,52,,1121.9800,
X,641,36,,1122.6800,
X,642,31,,1122.6800,
X,643,52,,1147.7000,
X,644,36,,1143.7600,
X,645,31,,1177.3600,
X,646,31,,1227.1800,
X,647,31,,1173.9200,
X,648,52,,1173.9200,
X,649,52,,1173.9200,
X,650,52,,1271.9200,
X,651,52,,1173.9200,
X,715,31,,1096.2200,
X,716,31,,1101.8800,
X,717,52,,1096.2200,
X,718,52,,1105.6200,
X,719,52,,1124.2200,
X,720,52,,1130.9800,
X,721,36,,1111.9600,
X,722,36,,1111.9600,
X,723,36,,1139.9400,
X,724,52,,1181.4000,
X,774,36,,1145.1800,
X,776,52,,1182.3200,
X,777,36,,1210.6000,
X,779,52,,1133.7600,
X,780,36,,1160.6200,
X,781,31,,1143.7600,
X,782,52,,1136.8600,
X,783,36,,1122.6800,
X,784,36,,1152.1600,
X,785,31,,1176.9400,
X,788,58,,0.0000,
X,790,52,,1173.0600,
X,791,52,,1185.7200,
X,830,36,,1180.3000,
X,831,52,,1239.2600,
X,832,31,,1197.7600,
X,835,36,,1219.3800,
X,836,52,,1197.7600,
X,837,36,,1272.0000,
X,851,36,,1139.9200,
X,853,52,,1131.0000,
X,854,36,,1131.0000,
X,855,31,,1124.1200,
X,856,36,,1124.1200,
X,857,31,,1111.9200,
X,867,31,,1182.3000,
X,868,31,,1127.2800,
X,869,31,,1182.3000,
X,870,36,,1127.2800,
X,871,52,,1190.2400,
X,872,52,,1204.4200,
X,874,52,,1202.7600,
X,876,36,,1214.3000,
X,877,36,,1173.8600,
X,920,36,,1171.8600,
X,921,36,,1176.8400,
X,922,52,,1202.7200,
X,923,36,,1222.9800,
X,924,36,,1219.3400,
X,925,31,,1207.0600,
X,926,31,,1173.9600,
X,928,52,,1150.7600,
X,929,52,,1185.7000,
X,930,52,,1173.9600,
X,931,52,,1207.4400,
X,1001,52,,1097.0800,
X,1002,52,,1097.0800,
X,1003,52,,1131.0200,
X,1008,31,,1093.8400,
X,1009,31,,1131.0200,
X,1010,36,,1162.4400,
X,1011,36,,1120.7000,
X,1013,52,,1193.1200,
X,1015,36,,1170.4200,
X,1016,36,,1170.4200,
X,1017,31,,1178.5600,
X,1056,36,,1097.0600,
X,1059,36,,1150.9600,
X,1060,36,,1131.0200,
X,1061,52,,1122.2400,
X,1062,52,,1131.0200,
X,1063,36,,1170.4000,
X,1064,31,,1146.4400,
X,1065,31,,1170.4000,
X,1067,52,,1193.1400,
X,1068,52,,1146.4400,
X,1068,58,,0.0000,
X,1069,52,,1178.6000,
X,1070,52,,1178.6000,
X,1071,52,,1165.8800,
X,1072,52,,1170.4000,
X,1073,52,,1165.8800,
X,1074,52,,1133.9400,
X,1079,31,,1219.3000,
X,1080,31,,1185.6600,
X,1081,31,,1219.3000,
X,1129,36,,1231.1000,
X,1131,52,,1213.3600,
X,1132,52,,1278.7600,
X,1133,31,,1185.5800,
X,1134,36,,1207.0600,
X,1135,31,,1219.3000,
X,1137,52,,1199.3400,
X,1138,52,,1199.3400,
X,1139,52,,1180.3000,
X,1140,52,,1215.8200,
X,1141,52,,1245.0000,
X,1142,52,,1301.6200,
X,1143,52,,1215.3800,
X,1144,52,,1218.6800,
X,1185,36,,1197.6000,
X,1186,36,,1220.8800,
X,1221,31,,1097.0600,
X,1222,36,,1122.2000,
X,1223,36,,1130.8800,
X,1224,31,,1148.5000,
X,1273,36,,1090.8400,
X,1279,52,,1174.6600,
