VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
X,1136,44,,1064.0000,
X,1137,52,,1142.8600,
X,1138,44,,1142.8600,
X,1139,36,,1107.0200,
X,1140,36,,1135.8200,
X,1141,36,,1182.1200,
X,1142,36,,1235.4400,
X,1143,36,,1145.5000,
X,1144,36,,1148.0000,
X,1184,31,,1147.7400,
X,1185,44,,1144.2000,
X,1186,36,,1155.5000,
X,1197,44,,1149.2600,
X,1209,36,,512.2600,
X,1211,31,,512.2600,
X,1275,52,,983.7200,
X,1277,44,,1024.4200,
X,1278,36,,1101.0400,
X,1279,36,,1092.2000,
X,1280,36,,1096.9400,
X,1281,36,,1073.8000,
X,1282,36,,1114.9400,
X,1283,44,,1114.9400,
X,1284,44,,1057.9000,
X,1285,52,,1114.9400,
X,1292,31,,1235.2600,
X,1293,31,,1133.3400,
X,1298,52,,1183.1800,
X,1343,52,,1114.9000,
X,1345,44,,1108.4000,
X,1346,36,,1082.3200,
X,1347,36,,1201.9800,
X,1348,31,,1201.9800,
X,1349,31,,1201.9800,
X,1351,31,,1105.1800,
X,1352,36,,1127.0200,
X,1353,36,,1127.0200,
X,1354,36,,1183.1800,
X,1355,52,,1127.0200,
X,1356,52,,1225.9200,
X,1360,31,,1261.2200,
X,1361,31,,1227.9000,
X,1362,36,,1228.0200,
X,1414,52,,1195.5200,
X,1415,44,,1127.0000,
X,1416,44,,1261.2200,
X,1417,36,,1261.2200,
X,1418,31,,1052.3400,
X,1419,36,,1261.2200,
X,1420,31,,1252.8000,
X,1421,31,,782.6400,
X,1422,36,,1228.0000,
X,1423,36,,728.9200,
X,1424,36,,728.9200,
X,1425,44,,782.6400,
X,1486,36,,1228.0000,
X,1574,52,,1104.4600,
X,1575,44,,1005.2400,
X,1577,36,,1182.0200,
X,1636,52,,960.1400,
X,1637,44,,1048.5800,
X,1638,52,,1051.7800,
X,1643,52,,1116.6600,
X,1644,52,,1076.2000,
X,1645,52,,1076.2000,
X,1646,44,,1132.1400,
X,1647,44,,1082.2600,
X,1704,31,,1051.7600,
X,1705,36,,960.1400,
X,1706,44,,1112.1800,
X,1707,52,,1181.9800,
X,1708,52,,1076.1800,
X,1709,52,,1082.2600,
X,1712,52,,1137.8200,
X,1713,52,,1181.9800,
X,1714,44,,1030.4000,
X,1715,44,,1030.4000,
X,1716,36,,1006.1400,
X,1775,31,,1116.6600,
X,1776,36,,1116.6600,
X,1777,44,,1082.2400,
X,1778,52,,1030.4000,
X,1782,52,,1181.9800,
X,1783,44,,1057.7400,
X,1784,44,,1048.8000,
