VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
X,713,36,507.3,-98.6798,28.9777
X,716,7,1016.36,-98.6498,28.9777
X,717,7,1010.54,-98.6398,28.9777
X,718,44,989.74,-98.6298,28.9777
X,719,44,962.14,-98.6198,28.9777
X,720,36,1000.82,-98.6098,28.9777
X,721,31,975.58,-98.5998,28.9777
X,722,36,975.58,-98.5898,28.9777
X,723,31,1011.98,-98.5798,28.9777
X,724,36,1081.06,-98.5598,28.9777
X,765,36,1011.98,-98.6098,28.9677
X,773,52,1003.74,-98.5298,28.9677
X,774,31,1011.52,-98.5198,28.9677
X,775,58,1003.74,-98.5098,28.9677
X,776,36,1071.58,-98.4698,28.9677
X,778,7,1066.68,-98.4498,28.9677
X,779,44,1026.64,-98.4298,28.9677
X,780,31,1039.54,-98.4098,28.9677
X,781,58,1031.22,-98.3998,28.9677
X,782,44,999.6,-98.3898,28.9677
X,783,36,990.34,-98.3798,28.9677
X,784,31,1060.24,-98.3698,28.9677
X,785,7,1098.66,-98.3598,28.9677
X,786,7,1144.92,-98.3498,28.9677
X,787,7,1151.04,-98.3398,28.9677
X,788,52,1128.84,-98.3298,28.9677
X,789,44,1145.36,-98.3198,28.9677
X,790,44,1082.96,-98.3098,28.9677
X,791,44,1128.84,-98.2998,28.9677
X,792,36,1128.84,-98.2898,28.9677
X,793,44,1144.82,-98.2798,28.9677
X,831,36,1159.34,-98.3298,28.9577
X,832,52,1145.34,-98.3198,28.9577
X,833,31,1145.34,-98.3098,28.9577
X,834,31,1128.82,-98.2998,28.9577
X,835,52,1144.8,-98.2898,28.9577
X,837,36,1207.82,-98.2698,28.9577
X,849,36,1008.76,-98.6198,28.9477
X,850,36,1011.9,-98.6098,28.9477
X,852,52,1011.9,-98.5898,28.9477
X,853,36,1000.82,-98.5798,28.9477
X,854,36,1000.82,-98.5698,28.9477
X,855,31,962.08,-98.5598,28.9477
X,857,7,975.52,-98.5398,28.9477
X,858,52,1000.82,-98.5298,28.9477
X,859,52,1011.9,-98.5198,28.9477
X,860,44,996.76,-98.4998,28.9477
X,861,44,1044.92,-98.4898,28.9477
X,862,44,1031.18,-98.4798,28.9477
X,863,52,1031.18,-98.4698,28.9477
X,864,52,1062.28,-98.4598,28.9477
X,865,52,1015.28,-98.4498,28.9477
X,866,7,1071.62,-98.4398,28.9477
X,867,7,1071.62,-98.4198,28.9477
X,868,7,1022.38,-98.4098,28.9477
X,869,31,1071.62,-98.3998,28.9477
X,870,36,1022.38,-98.3898,28.9477
X,871,36,1076.78,-98.3798,28.9477
X,872,36,1123.4,-98.3698,28.9477
X,873,36,1060.24,-98.3598,28.9477
X,874,36,1145.66,-98.3498,28.9477
X,875,36,1144.8,-98.3298,28.9477
X,876,31,1142.38,-98.3198,28.9477
X,877,31,1098.3,-98.3098,28.9477
X,919,31,1062.52,-98.3798,28.9377
X,920,36,1090.58,-98.3698,28.9377
X,921,52,1098.64,-98.3598,28.9377
X,922,36,1145.66,-98.3498,28.9377
X,923,36,1146.48,-98.3398,28.9377
X,924,31,1145.2,-98.3298,28.9377
X,925,7,1145.52,-98.3198,28.9377
X,926,7,1098.3,-98.2998,28.9377
X,927,58,1089.12,-98.2898,28.9377
X,928,52,1075.04,-98.2798,28.9377
X,929,44,1128.8,-98.2698,28.9377
X,930,44,1098.3,-98.2598,28.9377
X,931,44,1128.76,-98.2498,28.9377
X,983,36,1169.5,-98.2398,28.9277
X,997,52,566.5,-98.6598,28.9177
X,998,44,566.2,-98.6498,28.9177
X,999,44,512.32,-98.6398,28.9177
X,1000,36,495.2,-98.6298,28.9177
X,1001,36,937.86,-98.6198,28.9177
X,1002,36,937.86,-98.6098,28.9177
X,1003,44,1000.82,-98.5998,28.9177
X,1004,44,1000.82,-98.5898,28.9177
X,1005,52,1089.3,-98.5798,28.9177
X,1006,58,1084.3,-98.5698,28.9177
