index,parcels,plants,distance
294,437,1,36.9491
295,438,1,35.7681
296,439,1,35.5933
297,440,1,34.317
298,441,1,35.867
299,442,1,38.5327
300,443,1,38.2352
301,444,1,38.0484
302,445,1,38.4254
303,447,1,84.5228
304,448,1,85.5344
305,449,1,88.5754
306,450,1,89.4637
307,451,1,89.356
308,452,1,70.6142
309,453,1,69.9722
310,454,1,68.808
311,456,1,66.0549
312,457,1,67.2773
313,458,1,69.3056
314,459,1,65.8105
315,460,1,65.336
316,461,1,64.0351
317,462,1,62.3604
318,463,1,61.0531
319,464,1,60.2119
320,465,1,58.0208
321,466,1,56.9675
322,467,1,55.7609
323,468,1,56.3683
324,469,1,52.2322
325,470,1,51.5966
326,471,1,49.0169
327,472,1,48.2609
328,473,1,48.8805
329,474,1,46.0047
330,475,1,44.9877
331,476,1,43.978
332,477,1,43.0299
333,479,1,42.6261
334,480,1,41.5792
335,481,1,42.7989
336,482,1,36.2554
337,483,1,35.4294
338,484,1,37.1351
339,485,1,37.761
340,486,1,38.691
341,487,1,39.3106
342,488,1,41.0862
343,490,1,82.2741
344,491,1,84.6411
345,492,1,86.8665
346,493,1,87.0792
347,494,1,88.0532
348,495,1,89.0172
349,496,1,70.723
350,497,1,70.2496
351,498,1,91.7074
352,499,1,67.3015
353,500,1,67.3015
354,502,1,69.064
355,503,1,68.0304
356,504,1,66.7266
357,505,1,64.0995
358,506,1,63.7044
359,507,1,64.213
360,508,1,60.0898
361,509,1,58.8168
362,510,1,58.3899
363,511,1,56.7579
364,512,1,57.5115
365,513,1,53.0171
366,514,1,50.6041
367,515,1,49.6258
368,516,1,49.3121
369,517,1,51.748
370,518,1,46.7494
371,519,1,45.907
372,520,1,45.5608
373,521,1,44.0988
374,522,1,43.5884
375,523,1,44.8362
376,524,1,45.367
377,525,1,39.4092
378,526,1,38.6645
379,528,1,38.2776
380,529,1,38.2316
381,530,1,41.0212
382,531,1,41.0402
383,532,1,41.0792
384,533,1,43.3778
385,534,1,43.6221
386,535,1,82.8914
387,536,1,83.7854
388,537,1,85.6341
389,538,1,86.2983
390,539,1,88.6449
391,540,1,89.2559
392,542,1,90.9037
393,543,1,73.3116
394,544,1,72.565
395,545,1,70.2476
396,546,1,69.7025
397,547,1,68.3453
398,548,1,66.957
399,549,1,66.2527
400,550,1,64.7749
401,552,1,62.3894
402,553,1,61.0623
403,554,1,59.6116
404,555,1,58.5026
405,556,1,58.0318
406,557,1,58.8644
407,558,1,52.3869
408,559,1,52.1486
409,560,1,50.6865
410,561,1,51.0103
411,562,1,51.2505
412,563,1,47.6432
413,564,1,49.5325
414,565,1,48.1758
415,566,1,46.0033
416,567,1,44.6127
417,568,1,45.2013
418,569,1,45.2961
419,570,1,39.6506
420,571,1,38.1621
421,572,1,37.6762
422,573,1,38.7489
423,574,1,39.9073
424,575,1,39.7663
425,576,1,40.5106
426,579,1,53.9059
427,580,1,44.8603
428,581,1,81.9108
429,582,1,84.1952
430,583,1,84.6977
431,584,1,86.1765
432,585,1,89.3767
433,587,1,89.754
434,588,1,92.0872
435,589,1,74.2469
436,590,1,74.2686
437,592,1,70.6726
438,593,1,68.9789
439,594,1,69.5402
440,595,1,66.2259
441,596,1,66.3674
442,597,1,63.7735
443,598,1,62.3759
444,599,1,61.1597
445,600,1,59.8827
446,601,1,60.5652
447,602,1,59.4674
448,603,1,59.3484
449,606,1,60.1498
450,607,1,59.6062
451,608,1,52.1997
452,609,1,48.5661
453,610,1,47.6033
454,611,1,46.6869
455,612,1,43.1424
456,613,1,41.9972
457,614,1,41.0571
458,616,1,38.8053
459,617,1,48.0127
460,618,1,40.0047
461,619,1,40.86
462,620,1,40.9842
463,621,1,42.1712
464,622,1,42.1712
465,623,1,43.5266
466,624,1,52.7875
467,625,1,53.92
468,626,1,54.4979
469,627,1,82.0921
470,628,1,83.2177
471,629,1,83.8588
472,630,1,88.227
473,631,1,88.1835
474,632,1,88.3124
475,633,1,89.2327
476,634,1,75.5224
477,635,1,74.6149
478,636,1,72.7984
479,637,1,72.145
480,638,1,70.609
481,640,1,68.3004
482,641,1,67.1861
483,642,1,67.8445
484,643,1,68.3824
485,644,1,61.7307
486,645,1,61.5724
487,646,1,60.9481
488,647,1,61.6482
489,648,1,61.5377
490,649,1,60.4123
491,650,1,61.2947
492,651,1,61.6879
493,652,1,59.4285
494,654,1,53.2446
495,655,1,58.3155
496,656,1,49.6155
497,657,1,58.3376
498,658,1,47.1145
499,659,1,47.0174
500,660,1,42.6595
501,661,1,41.102
502,662,1,40.6252
503,664,1,46.8243
504,665,1,41.1159
505,666,1,42.4921
506,667,1,50.4322
507,668,1,49.595
508,669,1,50.9723
509,670,1,50.6289
510,671,1,51.6761
511,672,1,52.2444
512,673,1,53.1346
513,674,1,53.7111
514,675,1,83.7932
515,676,1,84.202
516,677,1,84.5546
517,678,1,85.1748
518,679,1,86.8565
519,680,1,88.5881
520,681,1,89.6871
521,682,1,90.8019
522,683,1,75.4512
523,684,1,72.4206
524,685,1,79.6771
525,686,1,80.233
526,687,1,81.5813
527,688,1,68.648
528,689,1,68.7314
529,690,1,67.4048
530,691,1,67.8768
531,692,1,62.7758
532,693,1,62.7167
533,694,1,62.1264
534,696,1,62.0531
535,697,1,61.5671
536,699,1,60.9593
537,700,1,61.1192
538,701,1,58.4432
539,702,1,56.9482
540,703,1,56.0586
541,704,1,56.8961
542,705,1,57.9104
543,706,1,44.555
544,709,1,48.1308
545,710,1,49.0648
546,711,1,47.3068
547,712,1,45.73
548,713,1,46.9753
549,714,1,47.6505
550,715,1,47.6505
551,717,1,49.1264
552,718,1,50.0159
553,719,1,50.9043
554,720,1,51.7962
555,721,1,54.6068
556,722,1,54.791
557,723,1,54.7859
558,725,1,85.6407
559,726,1,85.9243
560,727,1,85.7306
561,728,1,86.9783
