VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,1362,36,,1228.02
X,1363,31,,1189.54
X,1414,52,,1195.52
X,1416,36,,1261.22
X,1417,36,,1261.22
X,1418,31,,1052.34
X,1419,36,,1261.22
X,1420,31,,1252.8
X,1421,31,,782.64
X,1422,36,,1228
X,1423,36,,728.92
X,1424,36,,728.92
X,1425,52,,782.64
X,1486,36,,1228
X,1494,36,,559.84
X,1496,52,,549.3
X,1574,52,,1104.46
X,1577,36,,1182.02
X,1636,52,,960.14
X,1637,52,,1048.58
X,1638,52,,1051.78
X,1639,52,,1005.22
X,1643,52,,1116.66
X,1644,52,,1076.2
X,1644,58,,0
X,1645,52,,1076.2
X,1646,36,,1132.14
X,1647,36,,1082.26
X,1704,31,,1051.76
X,1705,36,,960.14
X,1706,36,,1112.18
X,1707,52,,1181.98
X,1708,52,,1076.18
X,1709,52,,1082.26
X,1710,52,,1030.4
X,1711,52,,1120.6
X,1712,52,,1137.82
X,1713,52,,1181.98
X,1715,36,,1030.4
X,1716,36,,1006.14
X,1775,31,,1116.66
X,1776,36,,1116.66
X,1778,52,,1030.4
X,1782,52,,1181.98
X,1783,52,,1057.74
X,1785,36,,1197.4
X,1786,31,,1201.78
X,1787,31,,1201.78
X,1844,31,,1114.76
X,1845,31,,1114.76
X,1846,31,,1079.28
X,1847,36,,1181.98
X,1848,52,,1106.4
X,1849,52,,1106.4
X,1850,52,,1201.86
X,1851,52,,702.9
X,1852,52,,1222.94
X,1853,52,,1147.04
X,1855,36,,1184.98
X,1856,31,,1218.4
X,1857,31,,1229.86
X,1915,31,,1181.98
X,1916,36,,1106.38
X,1917,36,,1166.04
X,1918,52,,1198.18
X,1919,52,,1007.16
X,1921,52,,1227.24
X,1922,52,,1201.78
X,1924,36,,1200.06
X,1925,31,,1225.7
X,1927,31,,1280.8
X,1985,36,,1166.02
X,1987,52,,1226.94
X,1992,52,,1005.36
X,1993,31,,1229.32
X,1994,36,,1227.94
X,1995,36,,728.88
X,1996,31,,1337.6
X,1997,31,,1337.6
X,1998,31,,1227.94
X,2055,31,,1227.08
X,2056,36,,1112.18
X,2060,52,,1312.1
X,2061,52,,1296.4
X,2062,36,,1259.88
X,2063,31,,1260.78
X,2064,31,,1296.4
X,2065,31,,1296.4
X,2066,31,,1361.72
X,2138,36,,669.68
X,2139,31,,552.08
X,2140,36,,627.82
X,2141,36,,627.82
X,2143,31,,666.36
X,2150,36,,506.24
X,2151,36,,1213.44
X,2209,36,,1213.42
X,2210,36,,1062.9
X,2211,31,,1062.9
X,2212,52,,1062.9
X,2213,31,,1062.9
X,2214,52,,1147.46
X,2215,36,,1198.92
X,2216,36,,1186.82
X,2278,52,,990.4
X,2279,52,,677.5
X,2280,52,,1160.78
X,2281,52,,1255.96
X,2282,36,,1361.8
X,2283,52,,1074.12
X,2284,36,,1260.7
X,2285,31,,1296.28
X,2287,52,,953.94
X,2290,36,,1098.4
X,2349,52,,972.02
X,2351,52,,1009.48
X,2352,31,,1098.24
X,2354,36,,636.18
X,2418,52,,682.14
X,2419,36,,666.28
X,2420,36,,666.28
X,2421,52,,697.58
X,2425,31,,1172.48
X,2427,36,,1126.18
X,2428,31,,1118.38
X,2429,36,,1118.38
X,2487,36,,1221.16
X,2489,36,,1221.16
X,2493,52,,1191.12
X,2494,36,,990.34
X,2495,31,,999.18
X,2497,52,,999.18
X,2498,36,,999.18
X,2499,36,,1152.64
X,2500,36,,1152.64
X,2501,36,,1152.64
X,2505,36,,1097.12
X,2557,36,,1229.42
X,2558,36,,1210.28
X,2561,36,,1174.74
X,2563,36,,1174.74
X,2564,31,,1310.46
X,2566,52,,1190.8
X,2567,36,,1174.6
X,2568,36,,1170.6
X,2569,31,,1250.7
X,2570,31,,1246.3
X,2627,31,,1272.18
X,2629,52,,1300.5
X,2630,52,,1269.26
X,2631,31,,1183.32
X,2632,52,,1183.32
X,2633,36,,1131.5
X,2634,31,,1296.8
X,2635,52,,1202.82
X,2636,52,,1198.52
X,2637,36,,1340.64
X,2638,36,,1263.86
X,2639,31,,1441.46
X,2640,31,,1441.46
X,2643,36,,1256.58
X,2644,31,,1272.18
X,2646,31,,1240.94
X,2697,36,,1425.68
X,2698,36,,1296.76
X,2699,36,,1296.76
X,2700,36,,1296.76
X,2701,31,,1296.76
X,2702,36,,1296.76
X,2703,31,,1202.78
X,2704,31,,1140.7
X,2705,52,,1252.04
X,2706,36,,1340.56
X,2707,31,,1340.56
X,2708,36,,1340.56
X,2709,31,,1340.56
X,2710,31,,1340.56
X,2712,36,,1391.16
X,2713,36,,1263.84
X,2714,36,,1228.58
X,2715,36,,1272.12
X,2716,36,,1308.94
X,2767,31,,1216.06
X,2768,31,,1340.5
X,2769,31,,1376.12
X,2770,36,,1229.1
X,2771,52,,1391.08
X,2772,36,,1263.84
X,2773,31,,1228.66
X,2774,52,,1263.84
X,2775,52,,1263.84
X,2776,36,,1263.84
X,2777,31,,1308.92
X,2778,31,,1254.6
X,2779,31,,1438.82
X,2780,52,,1438.82
X,2781,52,,1438.82
X,2782,36,,1438.82
X,2783,31,,1272.12
X,2787,36,,1425.64
X,2837,52,,119.38
X,2838,52,,1185.36
X,2839,52,,1090.14
X,2840,31,,1140.7
X,2841,52,,1296.66
X,2842,36,,1296.66
X,2843,31,,1209.36
X,2844,52,,1270.48
X,2845,36,,1233.54
X,2846,36,,1366.44
X,2849,52,,1252.92
X,2850,52,,1263.8
X,2855,31,,1341.2
X,2909,36,,1425.62
X,2910,52,,1425.62
X,2911,36,,1425.62
X,2912,31,,1425.62
X,2913,52,,1233.1
X,2914,36,,1233.1
X,2915,31,,1081.16
X,2934,36,,1216.44
X,2935,36,,1197.2
X,2936,52,,1149.24
X,2937,31,,1197.2
X,2938,52,,1197.2
X,2939,36,,1372.7
X,2985,31,,1197.16
X,2989,52,,1417.12
X,2990,52,,1417.12
X,2991,31,,1453.64
X,2992,31,,1417.12
X,2994,31,,1249.32
X,2996,31,,1295.94
X,3006,36,,1268.12
X,3049,31,,1420.06
X,3050,52,,1336.94
X,3051,31,,1420.06
X,3053,52,,1250.66
X,3054,36,,1279.5
X,3057,52,,1060.94
X,3058,52,,1081.16
X,3059,36,,1122.34
X,3060,36,,1108.78
X,3119,52,,1079.24
X,3120,36,,1107.62
X,3122,52,,1057.78
X,3123,36,,1245.66
X,3124,31,,1197.12
X,3126,52,,1233.9
X,3127,52,,1162.52
X,3128,52,,1195.44
X,3129,36,,1176.88
X,3130,31,,774.82
X,3132,52,,1153.96
X,3134,31,,1096.3
X,3136,31,,1334.66
X,3137,36,,1390.28
X,3187,36,,1390.26
X,3189,52,,1396.38
X,3190,31,,1396.38
X,3191,52,,1396.38
X,3192,52,,1239.14
X,3193,36,,1282.68
X,3194,31,,1308.58
X,3195,52,,1221.9
X,3196,52,,702.82
X,3198,36,,1245.96
X,3199,31,,1253.66
X,3200,31,,1292.58
X,3201,52,,1245.96
X,3202,52,,1336.94
X,3203,36,,1245.96
X,3204,52,,1097.58
X,3205,31,,1097.58
X,3206,52,,1081.14
X,3256,36,,1292.56
X,3257,31,,1221.88
X,3259,52,,1238.16
X,3260,31,,1106.44
X,3262,36,,1125.22
X,3263,31,,1096.58
X,3265,52,,1177.8
X,3266,52,,1177.8
X,3267,36,,1149.74
X,3268,36,,1149.74
X,3269,31,,1182.9
X,3271,52,,1072.46
X,3273,31,,745.76
X,3275,31,,1110.78
X,3276,36,,1110.78
X,3277,36,,1134.6
X,3326,52,,1149.74
X,3327,52,,1079.22
X,3328,31,,1110.78
X,3329,36,,1127.48
X,3330,31,,1113.24
X,3331,52,,1110.78
X,3332,36,,1134.58
X,3333,31,,1110.78
X,3335,52,,1001.14
X,3336,52,,1023.54
X,3337,36,,1105.44
X,3338,36,,1061.76
