VARIABLE, PARCEL, DEPOT, PLANT, VALUE,,,,
X,783,36,,1039.8,,,,
X,784,31,,1039.8,,,,
X,785,11,,1008.28,,,,
X,786,11,,1090.88,,,,
X,787,11,,1044.82,,,,
X,788,52,,1016.96,,,,
X,789,52,,1034.28,,,,
X,792,36,,1016.96,,,,
X,831,36,,1078.28,,,,
X,832,11,,1034.28,,,,
X,833,31,,1034.28,,,,
X,834,31,,1016.96,,,,
X,835,52,,1034.76,,,,
X,837,36,,1074.14,,,,
X,849,36,,1068.52,,,,
X,850,36,,1075.28,,,,
X,851,36,,1075.28,,,,
X,852,52,,1075.28,,,,
X,853,36,,1056.28,,,,
X,854,36,,1056.28,,,,
X,855,31,,1046.86,,,,
X,856,11,,1046.86,,,,
X,857,11,,1054.88,,,,
X,858,52,,1056.28,,,,
X,859,52,,1075.28,,,,
X,860,52,,1030.36,,,,
X,861,52,,1066.38,,,,
X,862,52,,1008.2,,,,
X,863,52,,1008.2,,,,
X,864,52,,1076.22,,,,
X,865,52,,1055.72,,,,
X,866,11,,1087.96,,,,
X,867,11,,1087.96,,,,
X,868,11,,1084.14,,,,
X,869,31,,1087.96,,,,
X,870,36,,1084.14,,,,
X,871,36,,1085.16,,,,
X,872,36,,1065.04,,,,
X,873,36,,1039.84,,,,
X,874,36,,1090.92,,,,
X,875,36,,1034.76,,,,
X,876,31,,991.66,,,,
X,919,31,,1086.28,,,,
X,920,36,,1063.58,,,,
X,921,52,,1008.2,,,,
X,922,36,,1090.88,,,,
X,923,36,,1040.04,,,,
X,924,31,,1034.74,,,,
X,925,11,,1017.38,,,,
X,926,11,,960.32,,,,
X,927,52,,993,,,,
X,928,52,,966.22,,,,
X,928,58,,0,,,,
X,929,52,,1016.96,,,,
X,930,36,,960.32,,,,
X,931,36,,960.32,,,,
X,983,36,,1034.26,,,,
X,1001,36,,985.18,,,,
X,1002,36,,985.18,,,,
X,1003,36,,1007.4,,,,
X,1004,52,,1056.26,,,,
X,1005,52,,1121.74,,,,
X,1005,58,,0,,,,
X,1006,52,,1106.96,,,,
X,1008,11,,1007.06,,,,
X,1009,11,,1056.26,,,,
X,1010,31,,1077.78,,,,
X,1011,31,,1030.32,,,,
X,1012,31,,1082.94,,,,
X,1013,36,,1077.78,,,,
X,1014,31,,1001.04,,,,
X,1015,31,,1082.94,,,,
X,1055,36,,966.2,,,,
X,1057,52,,1056.24,,,,
X,1058,36,,1030.32,,,,
X,1059,31,,1082.94,,,,
X,1060,52,,1056.24,,,,
X,1061,36,,1001.04,,,,
X,1062,31,,1056.24,,,,
X,1063,31,,1082.94,,,,
X,1064,11,,1001.04,,,,
X,1065,11,,1082.94,,,,
X,1066,52,,1077.74,,,,
X,1066,58,,0,,,,
X,1067,52,,1077.74,,,,
X,1068,36,,1001.04,,,,
X,1069,36,,1056.24,,,,
X,1070,36,,1056.24,,,,
X,1071,36,,1057.14,,,,
X,1072,36,,1082.94,,,,
X,1073,36,,1057.14,,,,
X,1074,36,,1054.88,,,,
X,1075,52,,1076.14,,,,
X,1076,52,,1087.96,,,,
X,1076,58,,0,,,,
X,1077,52,,1102.26,,,,
X,1078,11,,1097.04,,,,
X,1079,11,,1034.74,,,,
X,1081,31,,1034.74,,,,
X,1083,31,,1044.66,,,,
X,1128,36,,1082.94,,,,
X,1129,36,,1083.16,,,,
X,1131,52,,1078.76,,,,
X,1132,36,,1106.94,,,,
X,1133,31,,1016.96,,,,
X,1134,52,,1017.26,,,,
X,1135,11,,1034.74,,,,
X,1136,11,,954.26,,,,
X,1137,36,,0,,,,
X,1137,52,,1044.64,,,,
X,1138,36,,1044.64,,,,
X,1139,36,,1017.62,,,,
X,1140,36,,984.22,,,,
X,1141,36,,1037.38,,,,
X,1142,36,,1074.12,,,,
X,1143,36,,953.22,,,,
X,1144,36,,967.4,,,,
X,1183,36,,1078.78,,,,
X,1184,31,,1078.78,,,,
X,1186,36,,1025.9,,,,
X,1217,52,,985.16,,,,
X,1220,11,,1050.74,,,,
X,1225,11,,1126.8,,,,
X,1230,36,,1075.3,,,,
X,1275,52,,998.38,,,,
X,1276,52,,1056.18,,,,
X,1277,52,,1056.18,,,,
X,1278,36,,1075.28,,,,
X,1279,36,,1056.18,,,,
X,1280,36,,1068.46,,,,
X,1281,36,,1001.06,,,,
X,1282,36,,1082.9,,,,
X,1284,52,,1054.9,,,,
X,1285,52,,1082.9,,,,
X,1289,11,,1007.7,,,,
X,1292,31,,1116.26,,,,
X,1293,31,,1030.68,,,,
X,1295,11,,1026.38,,,,
X,1296,11,,1009.04,,,,
X,1298,52,,1007.3,,,,
X,1340,36,,1068.42,,,,
X,1343,52,,1082.9,,,,
X,1344,52,,1082.9,,,,
X,1345,36,,1050.4,,,,
X,1346,36,,991.38,,,,
X,1347,36,,1078.76,,,,
X,1348,31,,1078.76,,,,
X,1349,31,,1078.76,,,,
X,1350,36,,1076.14,,,,
X,1351,31,,936.54,,,,
X,1352,36,,945.6,,,,
X,1353,36,,945.6,,,,
X,1354,36,,1007.3,,,,
X,1355,52,,945.6,,,,
X,1356,52,,1029.44,,,,
X,1357,11,,1064.86,,,,
X,1358,11,,1099.32,,,,
X,1359,11,,967.36,,,,
X,1360,11,,974.24,,,,
X,1361,11,,942.98,,,,
X,1364,11,,971.9,,,,
X,1365,11,,759.26,,,,
X,1414,52,,1008.62,,,,
X,1416,36,,974.24,,,,
X,1417,36,,974.24,,,,
X,1418,31,,865.42,,,,
X,1419,36,,974.24,,,,
X,1420,31,,974.2,,,,
X,1421,31,,747.28,,,,
X,1422,36,,967.32,,,,
X,1423,36,,759.12,,,,
X,1424,36,,759.12,,,,
X,1425,52,,747.28,,,,
X,1486,36,,967.32,,,,
X,1572,11,,952.34,,,,
X,1574,52,,1050.72,,,,
X,1577,36,,1050.72,,,,
X,1636,36,,0,,,,
X,1636,52,,985.06,,,,
X,1637,52,,1026.06,,,,
X,1638,52,,1026.96,,,,
X,1639,11,,952.3,,,,
X,1640,11,,1020.68,,,,
X,1641,11,,1050.72,,,,
X,1642,11,,1026.96,,,,
X,1643,52,,1026.06,,,,
X,1644,52,,937.94,,,,
X,1645,52,,937.94,,,,
X,1646,36,,1055.76,,,,
X,1647,36,,991.34,,,,
X,1704,31,,1026.94,,,,
X,1705,36,,985.04,,,,
X,1706,36,,976.72,,,,
X,1707,36,,0,,,,
X,1707,52,,1050.72,,,,
X,1708,52,,937.94,,,,
X,1709,52,,937.92,,,,
X,1710,52,,967.06,,,,
X,1711,52,,1004.12,,,,
X,1712,52,,1040.5,,,,
X,1713,52,,1106.9,,,,
X,1715,36,,1007.72,,,,
X,1716,36,,1006.98,,,,
X,1775,31,,1026.02,,,,
X,1776,36,,1026.02,,,,
X,1778,52,,967.16,,,,
X,1782,52,,1106.9,,,,
X,1783,52,,1054.82,,,,
X,1785,36,,1075.18,,,,
X,1786,31,,1078.72,,,,
X,1787,31,,1078.72,,,,
X,1844,31,,1026.94,,,,
X,1845,31,,1026.94,,,,
X,1846,36,,985.14,,,,
X,1847,36,,1106.86,,,,
X,1848,52,,1078.72,,,,
X,1849,52,,1078.72,,,,
X,1850,52,,1078.72,,,,
X,1851,52,,783.84,,,,
X,1852,52,,1077.66,,,,
X,1853,52,,1054.8,,,,
X,1855,36,,1068.32,,,,
X,1856,31,,1047.08,,,,
X,1857,31,,1035.22,,,,
X,1858,11,,1014.8,,,,
X,1913,11,,1026.94,,,,
X,1915,31,,1050.68,,,,
X,1916,36,,1078.72,,,,
X,1917,36,,983.36,,,,
X,1918,52,,991.2,,,,
X,1919,52,,909.38,,,,
X,1920,52,,783.72,,,,
X,1921,52,,1057.62,,,,
X,1922,52,,1078.72,,,,
X,1923,36,,1078.72,,,,
X,1924,36,,1014.8,,,,
X,1925,31,,1029.42,,,,
X,1927,31,,1064.82,,,,
X,1928,11,,974.18,,,,
X,1987,52,,1072.38,,,,
X,1988,36,,1076.14,,,,
X,1992,52,,843.88,,,,
X,1993,31,,1023.56,,,,
X,1994,36,,967.2,,,,
X,1995,36,,759.04,,,,
X,1996,31,,1099.28,,,,
X,1997,31,,1099.28,,,,
X,1998,11,,967.2,,,,
X,2055,31,,1029.42,,,,
X,2056,36,,945.54,,,,
X,2059,52,,759.04,,,,
X,2060,52,,1041.28,,,,
X,2062,36,,967.2,,,,
X,2063,36,,942.88,,,,
X,2064,31,,974.18,,,,
X,2065,31,,974.18,,,,
X,2150,36,,967.14,,,,
X,2151,36,,1050.68,,,,
X,2208,11,,967.18,,,,
