VARIABLE, PARCEL, DEPOT, PLANT, VALUE
X,1055,36,,966.2
X,1056,36,,985.18
X,1057,52,,1056.24
X,1058,44,,1030.32
X,1059,31,,1082.94
X,1060,52,,1056.24
X,1061,44,,1001.04
X,1062,36,,1056.24
X,1063,31,,1082.94
X,1064,7,,1001.04
X,1065,7,,1082.94
X,1066,52,,1077.74
X,1067,44,,1077.74
X,1068,44,,1001.04
X,1069,36,,1056.24
X,1070,36,,1056.24
X,1071,36,,1057.14
X,1072,36,,1082.94
X,1073,44,,1057.14
X,1074,36,,1054.88
X,1075,44,,1076.14
X,1076,52,,1087.96
X,1077,52,,1102.26
X,1078,7,,1097.04
X,1079,7,,1034.74
X,1081,31,,1034.74
X,1083,31,,1044.66
X,1125,31,,1082.94
X,1128,36,,1082.94
X,1129,36,,1083.16
X,1130,7,,1076.14
X,1131,36,,1078.76
X,1132,36,,1106.94
X,1133,31,,1016.96
X,1134,58,,1017.26
X,1135,52,,1034.74
X,1136,58,,954.26
X,1137,52,,1044.64
X,1138,44,,1044.64
X,1139,36,,1017.62
X,1140,36,,984.22
X,1141,36,,1037.38
X,1142,36,,1074.12
X,1143,36,,953.22
X,1144,36,,967.4
X,1183,36,,1078.78
X,1184,31,,1078.78
X,1185,44,,1055.76
X,1186,36,,1025.9
X,1187,7,,1026.4
X,1197,44,,942.98
X,1217,58,,985.16
X,1219,7,,952.38
X,1220,7,,1050.74
X,1225,7,,1126.8
X,1226,7,,1056.2
X,1230,36,,1075.3
X,1275,52,,998.38
X,1276,44,,1056.18
X,1277,44,,1056.18
X,1278,36,,1075.28
X,1279,36,,1056.18
X,1280,36,,1068.46
X,1281,36,,1001.06
X,1282,36,,1082.9
X,1283,44,,1082.9
X,1284,44,,1054.9
X,1285,52,,1082.9
X,1286,58,,1001.06
X,1287,7,,1082.9
X,1288,7,,991.32
X,1289,7,,1007.7
X,1292,31,,1116.26
X,1293,31,,1030.68
X,1296,7,,1009.04
X,1297,58,,1009.04
X,1298,52,,1007.3
X,1299,44,,1026.38
X,1340,36,,1068.42
X,1343,52,,1082.9
X,1344,44,,1082.9
X,1345,44,,1050.4
X,1346,36,,991.38
X,1347,36,,1078.76
X,1348,31,,1078.76
X,1349,31,,1078.76
X,1350,36,,1076.14
X,1351,31,,936.54
X,1352,36,,945.6
X,1353,36,,945.6
X,1354,36,,1007.3
X,1355,52,,945.6
X,1356,58,,1029.44
X,1357,58,,1064.86
X,1358,7,,1099.32
X,1359,7,,967.36
X,1360,7,,974.24
X,1361,31,,942.98
X,1362,36,,967.36
X,1363,31,,971.9
X,1364,7,,971.9
X,1365,7,,759.26
X,1414,52,,1008.62
X,1415,44,,945.6
X,1416,44,,974.24
X,1417,36,,974.24
X,1418,31,,865.42
X,1419,36,,974.24
X,1420,31,,974.2
X,1421,31,,747.28
X,1422,36,,967.32
X,1423,36,,759.12
X,1424,36,,759.12
X,1425,44,,747.28
X,1486,36,,967.32
X,1487,31,,759.16
X,1572,7,,952.34
X,1573,7,,1026.06
X,1574,52,,1050.72
X,1575,44,,952.34
X,1577,36,,1050.72
X,1636,52,,985.06
X,1637,58,,1026.06
X,1638,52,,1026.96
X,1639,58,,952.3
X,1640,7,,1020.68
X,1642,7,,1026.96
X,1643,7,,1026.06
X,1644,58,,937.94
X,1645,52,,937.94
X,1646,44,,1055.76
X,1647,44,,991.34
X,1648,31,,991.34
X,1649,31,,1057.66
X,1704,31,,1026.94
X,1705,36,,985.04
X,1706,44,,976.72
X,1707,52,,1050.72
X,1708,58,,937.94
X,1709,58,,937.92
X,1710,58,,967.06
X,1711,7,,1004.12
X,1712,7,,1040.5
X,1713,52,,1106.9
X,1714,44,,1007.72
X,1715,44,,1007.72
X,1716,36,,1006.98
X,1717,31,,1054.82
X,1775,31,,1026.02
X,1776,36,,1026.02
X,1777,44,,937.9
X,1778,52,,967.16
X,1779,58,,1050.72
X,1780,58,,1008.74
X,1781,58,,1068.32
X,1782,52,,1106.9
X,1783,44,,1054.82
X,1784,44,,1046.68
X,1785,36,,1075.18
X,1786,31,,1078.72
X,1787,31,,1078.72
X,1841,7,,966.98
X,1844,31,,1026.94
X,1845,31,,1026.94
X,1846,36,,985.14
X,1847,44,,1106.86
X,1848,44,,1078.72
X,1849,52,,1078.72
X,1850,58,,1078.72
X,1851,52,,783.84
X,1852,44,,1077.66
X,1853,44,,1054.8
X,1854,44,,783.84
X,1855,36,,1068.32
X,1856,31,,1047.08
X,1857,31,,1035.22
X,1911,7,,1004.16
X,1912,7,,985.04
X,1915,31,,1050.68
X,1916,36,,1078.72
X,1917,44,,983.36
X,1918,44,,991.2
X,1919,52,,909.38
X,1920,52,,783.72
X,1921,52,,1057.62
X,1922,44,,1078.72
X,1923,44,,1078.72
X,1924,36,,1014.8
